time,open,high,low,close
2025-12-06T00:00:00+08:00,4243.77,4245.82,4198.395,4214.02
2025-12-06T01:00:00+08:00,4214.15,4220.12,4206.295,4217.476
2025-12-06T02:00:00+08:00,4217.365,4219.31,4206.465,4208.81
2025-12-06T03:00:00+08:00,4208.81,4210.89,4202.195,4207.68
2025-12-06T04:00:00+08:00,4207.43,4207.74,4198.995,4202.06
2025-12-06T05:00:00+08:00,4202.016,4202.578,4191.79,4197.405
2025-12-08T07:00:00+08:00,4198.23,4209.126,4192.76,4200.59
2025-12-08T08:00:00+08:00,4201.39,4211.77,4199.19,4210.726
2025-12-08T09:00:00+08:00,4210.726,4211.8,4197.225,4201.266
2025-12-08T10:00:00+08:00,4201.2,4212.43,4198.27,4208.36
2025-12-08T11:00:00+08:00,4208.215,4213.125,4206.51,4210
2025-12-08T12:00:00+08:00,4209.86,4213.21,4206.77,4208.53
2025-12-08T13:00:00+08:00,4208.53,4217.14,4204.435,4217
2025-12-08T14:00:00+08:00,4217,4219.1,4211.925,4216.87
2025-12-08T15:00:00+08:00,4217.03,4217.45,4206.075,4206.8
2025-12-08T16:00:00+08:00,4206.72,4216.55,4202.895,4209.7
2025-12-08T17:00:00+08:00,4209.65,4212.78,4204.01,4207.916
2025-12-08T18:00:00+08:00,4207.94,4210.33,4200.856,4203.49
2025-12-08T19:00:00+08:00,4203.47,4214.22,4199.418,4208.58
2025-12-08T20:00:00+08:00,4208.335,4215.52,4208.19,4213.716
2025-12-08T21:00:00+08:00,4213.73,4214.66,4197.525,4201.7
2025-12-08T22:00:00+08:00,4201.48,4211.61,4195.36,4196.49
2025-12-08T23:00:00+08:00,4196.52,4196.88,4175.998,4182.79
2025-12-09T00:00:00+08:00,4182.665,4197.886,4176.665,4191.436
2025-12-09T01:00:00+08:00,4191.425,4195.65,4185.32,4194.75
2025-12-09T02:00:00+08:00,4194.74,4195.67,4184.255,4187.296
2025-12-09T03:00:00+08:00,4187.296,4188.96,4184.035,4186.99
2025-12-09T04:00:00+08:00,4187.09,4195.59,4184.705,4191.415
2025-12-09T05:00:00+08:00,4191.42,4193.217,4187.94,4189.885
2025-12-09T07:00:00+08:00,4190.108,4195.386,4188.535,4194.49
2025-12-09T08:00:00+08:00,4194.7,4195.687,4189.715,4190.38
2025-12-09T09:00:00+08:00,4190.38,4197.32,4188.545,4195.99
2025-12-09T10:00:00+08:00,4195.995,4197.206,4185.785,4189.771
2025-12-09T11:00:00+08:00,4189.665,4198.82,4189.64,4194.5
2025-12-09T12:00:00+08:00,4194.43,4195.72,4184.275,4186.86
2025-12-09T13:00:00+08:00,4186.91,4187.36,4177.805,4179.54
2025-12-09T14:00:00+08:00,4179.82,4184.12,4169.845,4182.09
2025-12-09T15:00:00+08:00,4181.755,4185.76,4175.615,4182.227
2025-12-09T16:00:00+08:00,4182.35,4191.82,4182.135,4191.66
2025-12-09T17:00:00+08:00,4191.556,4212.94,4190.498,4202.81
2025-12-09T18:00:00+08:00,4202.726,4208.44,4201.095,4203.78
2025-12-09T19:00:00+08:00,4203.84,4206.52,4200.965,4202.91
2025-12-09T20:00:00+08:00,4203.08,4207.56,4198.325,4204.31
2025-12-09T21:00:00+08:00,4203.99,4208.51,4195.445,4201.296
2025-12-09T22:00:00+08:00,4201.26,4210.38,4189.229,4204.876
2025-12-09T23:00:00+08:00,4204.876,4216.368,4189.78,4212.45
2025-12-10T00:00:00+08:00,4212.476,4221.4,4209.798,4212.13
2025-12-10T01:00:00+08:00,4212.336,4216.54,4201.475,4203.076
2025-12-10T02:00:00+08:00,4202.875,4209.8,4201.085,4208.895
2025-12-10T03:00:00+08:00,4208.88,4214.44,4206.975,4212.456
2025-12-10T04:00:00+08:00,4212.45,4216.03,4208.708,4212.28
2025-12-10T05:00:00+08:00,4212.076,4212.97,4206.47,4206.59
2025-12-10T07:00:00+08:00,4207.588,4213.13,4206.676,4210.71
2025-12-10T08:00:00+08:00,4210.67,4212.636,4206.698,4208.366
2025-12-10T09:00:00+08:00,4208.24,4218.03,4206.648,4213.79
2025-12-10T10:00:00+08:00,4213.63,4218.78,4211.33,4216.866
2025-12-10T11:00:00+08:00,4216.83,4217.17,4203.365,4206.095
2025-12-10T12:00:00+08:00,4206.32,4209.68,4205.218,4207.04
2025-12-10T13:00:00+08:00,4206.85,4214.538,4200.82,4211.17
2025-12-10T14:00:00+08:00,4211.31,4211.76,4202.765,4207.176
2025-12-10T15:00:00+08:00,4207.38,4209.33,4202.985,4203.351
2025-12-10T16:00:00+08:00,4203.32,4206.57,4196.805,4198.01
2025-12-10T17:00:00+08:00,4197.99,4200.59,4192.445,4194.39
2025-12-10T18:00:00+08:00,4194.215,4196.38,4187.525,4193.196
2025-12-10T19:00:00+08:00,4193.216,4197.84,4192.415,4197.246
