entry_time,exit_time,session,direction,entry_price,exit_price,exit_reason,hold_bars,pnl_pts,pnl_ntd,mfe_pts,mae_pts,win,fail_pattern
2025-06-09 09:15:00,2025-06-10 09:15:00,day,long,21709,21949,tp,38,240,12000,400,83.0,True,win
2025-06-09 10:45:00,2025-06-10 09:15:00,day,long,21711,21951,tp,35,240,12000,398,48.0,True,win
2025-06-12 23:30:00,2025-06-13 08:45:00,night,long,22282,22162,sl,11,-120,-6000,56,385.0,False,false_breakout
2025-06-14 00:00:00,2025-06-14 02:30:00,night,long,22121,22001,sl,5,-120,-6000,25,153.0,False,false_breakout
2025-06-16 15:30:00,2025-06-17 15:00:00,night,long,22071,21951,sl,38,-120,-6000,206,358.0,False,normal_sl
2025-06-18 10:45:00,2025-06-18 18:30:00,day,long,21939,21819,sl,13,-120,-6000,48,144.0,False,false_breakout
2025-06-18 23:30:00,2025-06-19 09:15:00,night,long,21871,21751,sl,12,-120,-6000,47,166.0,False,false_breakout
2025-06-23 16:00:00,2025-06-23 18:30:00,night,long,21540,21420,sl,5,-120,-6000,15,125.0,False,immediate_loss
2025-06-23 22:00:00,2025-06-24 00:30:00,night,long,21546,21426,sl,5,-120,-6000,28,196.0,False,false_breakout
2025-06-27 01:00:00,2025-06-27 11:15:00,night,long,22121,22001,sl,13,-120,-6000,99,124.0,False,normal_sl
2025-06-27 22:00:00,2025-07-01 03:00:00,night,long,22125,22111,time,48,-14,-700,132,113.0,False,time_bleed
2025-06-30 12:45:00,2025-06-30 21:30:00,day,long,22176,22056,sl,15,-120,-6000,8,164.0,False,immediate_loss
2025-06-30 17:30:00,2025-06-30 21:30:00,night,long,22152,22032,sl,8,-120,-6000,2,140.0,False,immediate_loss
2025-07-01 04:30:00,2025-07-01 08:45:00,night,long,22116,22356,tp,1,240,12000,343,0.0,True,win
2025-07-02 11:45:00,2025-07-03 08:45:00,day,long,22351,22591,tp,32,240,12000,301,70.0,True,win
2025-07-02 22:30:00,2025-07-03 09:15:00,night,long,22428,22668,tp,14,240,12000,269,29.0,True,win
2025-07-11 09:45:00,2025-07-14 08:45:00,day,long,22684,22564,sl,36,-120,-6000,88,123.0,False,normal_sl
2025-07-15 01:00:00,2025-07-15 09:45:00,night,long,22583,22823,tp,10,240,12000,299,71.0,True,win
2025-07-16 09:15:00,2025-07-17 13:15:00,day,long,22823,23063,tp,46,240,12000,327,12.0,True,win
2025-07-21 15:30:00,2025-07-22 10:45:00,night,long,23258,23138,sl,31,-120,-6000,149,120.0,False,normal_sl
