entry_time,exit_time,session,direction,entry_price,exit_price,exit_reason,hold_bars,pnl_pts,pnl_ntd,mfe_pts,mae_pts,win,fail_pattern
2025-06-13 09:45:00,2025-06-16 08:45:00,day,long,22042,21922,sl,36,-120,-6000,104.0,174,False,normal_sl
2025-06-19 16:30:00,2025-06-19 22:30:00,night,long,21627,21507,sl,12,-120,-6000,16.0,121,False,immediate_loss
2025-06-19 22:30:00,2025-06-20 19:30:00,night,long,21544,21784,tp,32,240,12000,244.0,76,True,win
2025-06-20 00:30:00,2025-06-20 08:45:00,night,long,21501,21741,tp,9,240,12000,241.0,26,True,win
2025-07-05 02:00:00,2025-07-08 02:00:00,night,long,22352,22232,sl,38,-120,-6000,153.0,159,False,normal_sl
2025-07-14 09:45:00,2025-07-14 15:00:00,day,long,22597,22477,sl,8,-120,-6000,41.0,136,False,false_breakout
2025-07-14 11:15:00,2025-07-15 09:45:00,day,long,22573,22813,tp,35,240,12000,309.0,112,True,win
2025-07-22 15:30:00,2025-07-22 21:30:00,night,long,23027,22907,sl,12,-120,-6000,19.0,165,False,false_breakout
2025-07-22 22:30:00,2025-07-23 08:45:00,night,long,22934,23174,tp,13,240,12000,257.0,2,True,win
2025-07-29 11:15:00,2025-07-30 12:15:00,day,long,23167,23407,tp,40,240,12000,253.0,62,True,win
2025-07-29 13:15:00,2025-07-30 10:15:00,day,long,23156,23396,tp,32,240,12000,247.0,33,True,win
2025-08-01 18:00:00,2025-08-01 21:30:00,night,long,23185,23065,sl,7,-120,-6000,32.0,175,False,false_breakout
2025-08-01 19:30:00,2025-08-01 21:30:00,night,long,23158,23038,sl,4,-120,-6000,59.0,148,False,false_breakout
2025-08-06 00:00:00,2025-08-06 21:30:00,night,long,23421,23301,sl,33,-120,-6000,61.0,129,False,false_breakout
2025-08-14 10:45:00,2025-08-15 16:30:00,day,long,24281,24300,time,48,19,950,103.0,94,True,win
2025-08-16 01:00:00,2025-08-18 09:45:00,night,long,24178,24418,tp,10,240,12000,241.0,27,True,win
2025-08-19 16:00:00,2025-08-20 03:00:00,night,long,24287,24167,sl,22,-120,-6000,34.0,135,False,false_breakout
2025-08-29 18:00:00,2025-08-29 21:30:00,night,long,24179,24059,sl,7,-120,-6000,58.0,120,False,false_breakout
2025-08-29 22:30:00,2025-09-01 10:15:00,night,long,24092,23972,sl,16,-120,-6000,154.0,209,False,normal_sl
2025-08-29 23:30:00,2025-09-01 10:15:00,night,long,24094,23974,sl,14,-120,-6000,152.0,211,False,normal_sl
2025-09-02 11:45:00,2025-09-02 18:30:00,day,long,24004,23884,sl,11,-120,-6000,59.0,143,False,false_breakout
2025-09-24 10:45:00,2025-09-25 00:00:00,day,long,26228,26108,sl,24,-120,-6000,68.0,120,False,normal_sl
2025-09-25 20:30:00,2025-09-25 21:30:00,night,long,25971,25851,sl,2,-120,-6000,0.0,126,False,immediate_loss
2025-09-26 10:45:00,2025-09-30 08:45:00,day,long,25662,25902,tp,35,240,12000,276.0,116,True,win
2025-10-10 02:00:00,2025-10-13 08:45:00,night,long,27115,26995,sl,6,-120,-6000,25.0,735,False,false_breakout
2025-10-13 11:15:00,2025-10-13 21:30:00,day,long,26845,27085,tp,19,240,12000,262.0,65,True,win
2025-10-14 15:30:00,2025-10-14 18:00:00,night,long,26811,26691,sl,5,-120,-6000,14.0,158,False,immediate_loss
2025-10-22 10:45:00,2025-10-22 22:30:00,day,long,27636,27516,sl,21,-120,-6000,160.0,166,False,normal_sl
2025-10-23 02:30:00,2025-10-23 15:00:00,night,long,27398,27638,tp,15,240,12000,299.0,85,True,win
2025-11-04 13:15:00,2025-11-04 15:00:00,day,long,28189,28069,sl,2,-120,-6000,7.0,129,False,immediate_loss
2025-11-07 02:00:00,2025-11-07 10:15:00,night,long,27742,27622,sl,9,-120,-6000,95.0,146,False,normal_sl
2025-11-08 02:00:00,2025-11-08 04:00:00,night,long,27282,27522,tp,4,240,12000,243.0,12,True,win
2025-11-14 13:45:00,2025-11-14 15:00:00,day,long,27408,27288,sl,1,-120,-6000,19.0,146,False,false_breakout
2025-11-14 17:00:00,2025-11-14 19:00:00,night,long,27312,27192,sl,4,-120,-6000,38.0,149,False,false_breakout
2025-11-19 13:15:00,2025-11-19 22:30:00,day,long,26678,26918,tp,16,240,12000,327.0,78,True,win
2025-11-21 02:30:00,2025-11-21 02:30:00,night,long,27046,26926,sl,0,-120,-6000,23.0,232,False,false_breakout
2025-11-21 03:30:00,2025-11-21 04:00:00,night,long,26921,26801,sl,1,-120,-6000,4.0,123,False,immediate_loss
2025-12-01 09:45:00,2025-12-01 10:15:00,day,long,27622,27502,sl,1,-120,-6000,19.0,138,False,false_breakout
2025-12-11 12:15:00,2025-12-12 18:00:00,day,long,28155,28255,time,48,100,5000,190.0,95,True,win
2025-12-16 12:15:00,2025-12-16 16:00:00,day,long,27513,27753,tp,5,240,12000,257.0,18,True,win
2025-12-18 01:00:00,2025-12-18 02:00:00,night,long,27586,27466,sl,2,-120,-6000,21.0,145,False,false_breakout
2026-01-29 10:45:00,2026-01-29 22:30:00,day,long,32666,32546,sl,21,-120,-6000,151.0,208,False,normal_sl
2026-01-30 16:30:00,2026-01-30 17:30:00,night,long,31989,31869,sl,2,-120,-6000,71.0,134,False,normal_sl
2026-02-02 10:45:00,2026-02-02 10:45:00,day,long,31631,31511,sl,0,-120,-6000,18.0,166,False,false_breakout
2026-02-02 12:15:00,2026-02-02 15:00:00,day,long,31458,31698,tp,3,240,12000,314.0,8,True,win
2026-02-04 03:30:00,2026-02-04 04:30:00,night,long,31858,32098,tp,2,240,12000,283.0,89,True,win
2026-02-05 03:30:00,2026-02-05 09:15:00,night,long,31911,32151,tp,4,240,12000,256.0,26,True,win
2026-02-27 00:30:00,2026-02-27 00:30:00,night,long,35172,35052,sl,0,-120,-6000,20.0,225,False,false_breakout
2026-02-27 01:30:00,2026-03-02 08:45:00,night,long,35019,34899,sl,7,-120,-6000,333.0,311,False,normal_sl
2026-03-02 17:00:00,2026-03-02 22:30:00,night,long,34780,35020,tp,11,240,12000,417.0,43,True,win
2026-03-06 22:30:00,2026-03-06 22:30:00,night,long,32835,32715,sl,0,-120,-6000,87.0,230,False,false_breakout
2026-03-21 04:00:00,2026-03-23 08:45:00,night,long,32701,32581,sl,2,-120,-6000,92.0,488,False,false_breakout
2026-03-23 11:45:00,2026-03-23 15:00:00,day,long,32590,32470,sl,4,-120,-6000,155.0,490,False,false_breakout
2026-03-23 16:30:00,2026-03-23 18:30:00,night,long,32397,32277,sl,4,-120,-6000,196.0,145,False,normal_sl
2026-03-27 03:00:00,2026-03-27 03:00:00,night,long,32840,32720,sl,0,-120,-6000,17.0,139,False,immediate_loss
2026-04-23 12:15:00,2026-04-23 12:45:00,day,long,37735,37975,tp,1,240,12000,303.0,42,True,win
2026-04-28 21:00:00,2026-04-28 21:30:00,night,long,39373,39253,sl,1,-120,-6000,134.0,158,False,normal_sl
