Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
18,Exit long,2024-05-20 14:30,S2_LX_TP1,2437.894,4.1,9799.3854,195.98,2.00,246.02,2.51,-79.52,-0.81,1180.5,11.81,100
18,Entry long,2024-05-16 10:30,S2_LE,2390.094,4.1,9799.3854,195.98,2.00,246.02,2.51,-79.52,-0.81,1180.5,11.81,100
19,Exit long,2024-06-07 13:00,S2_LX_TP1,2383.434,4.2,9814.1442,196.28,2.00,214.24,2.18,-93.66,-0.95,1376.78,13.77,418
19,Entry long,2024-05-27 08:30,S2_LE,2336.701,4.2,9814.1442,196.28,2.00,214.24,2.18,-93.66,-0.95,1376.78,13.77,418
20,Exit long,2024-06-20 23:00,S2_LX_TP1,2351.662,4.3,9913.8736,198.27,2.00,257.91,2.60,-43.68,-0.44,1575.05,15.75,365
20,Entry long,2024-06-10 22:00,S2_LE,2305.552,4.3,9913.8736,198.27,2.00,257.91,2.60,-43.68,-0.44,1575.05,15.75,365
21,Exit long,2024-06-21 21:30,S2_SL,2335.944,4.2,9910.0722,-99.11,-1.00,38.64,0.39,-99.11,-1.00,1475.95,14.76,23
21,Entry long,2024-06-21 10:00,S2_LE,2359.541,4.2,9910.0722,-99.11,-1.00,38.64,0.39,-99.11,-1.00,1475.95,14.76,23
22,Exit long,2024-06-26 21:00,S2_SL,2302.507,4.2,9768.2172,-97.69,-1.00,47.69,0.49,-97.69,-1.00,1378.26,13.78,68
22,Entry long,2024-06-25 10:00,S2_LE,2325.766,4.2,9768.2172,-97.69,-1.00,47.69,0.49,-97.69,-1.00,1378.26,13.78,68
23,Exit long,2024-07-03 16:00,S2_LX_TP1,2344.969,4.3,9885.6613,197.71,2.00,207.38,2.10,-12,-0.12,1575.96,15.76,192
23,Entry long,2024-06-27 12:00,S2_LE,2298.991,4.3,9885.6613,197.71,2.00,207.38,2.10,-12,-0.12,1575.96,15.76,192
24,Exit long,2024-07-11 23:00,S2_LX_TP1,2413.136,4.2,9936.4482,198.72,2.00,219.07,2.20,-75.73,-0.76,1774.69,17.75,190
24,Entry long,2024-07-05 20:00,S2_LE,2365.821,4.2,9936.4482,198.72,2.00,219.07,2.20,-75.73,-0.76,1774.69,17.75,190
25,Exit long,2024-07-16 23:30,S2_LX_TP1,2459.73,4.1,9887.1541,197.74,2.00,209.1,2.11,-43.46,-0.44,1972.43,19.72,67
25,Entry long,2024-07-15 13:00,S2_LE,2411.501,4.1,9887.1541,197.74,2.00,209.1,2.11,-43.46,-0.44,1972.43,19.72,67
26,Exit long,2024-07-19 03:00,S2_SL,2442.904,4,9870.324,-98.71,-1.00,64.72,0.66,-98.71,-1.00,1873.72,18.74,83
26,Entry long,2024-07-17 08:30,S2_LE,2467.581,4,9870.324,-98.71,-1.00,64.72,0.66,-98.71,-1.00,1873.72,18.74,83
27,Exit long,2024-07-25 09:30,S2_SL,2370.822,4.1,9818.5611,-98.19,-1.00,152.68,1.56,-98.19,-1.00,1775.53,17.76,104
27,Entry long,2024-07-23 02:30,S2_LE,2394.771,4.1,9818.5611,-98.19,-1.00,152.68,1.56,-98.19,-1.00,1775.53,17.76,104
28,Exit long,2024-08-01 16:30,S2_LX_TP1,2435.899,4.2,9933.273,297.5,3.00,391.84,3.94,-1.11,-0.01,2073.03,20.73,198
28,Entry long,2024-07-26 09:30,S2_LE,2365.065,4.2,9933.273,297.5,3.00,391.84,3.94,-1.11,-0.01,2073.03,20.73,198
29,Exit long,2024-08-05 18:30,S2_SL,2413.632,4.1,9995.8574,-99.97,-1.00,85.41,0.85,-99.97,-1.00,1973.06,19.73,16
29,Entry long,2024-08-05 10:30,S2_LE,2438.014,4.1,9995.8574,-99.97,-1.00,85.41,0.85,-99.97,-1.00,1973.06,19.73,16
30,Exit long,2024-08-12 21:00,S2_LX_TP1,2444.047,4.1,9824.1166,196.48,2.00,206.82,2.11,-0.004,0.00,2169.54,21.70,98
30,Entry long,2024-08-08 18:00,S2_LE,2396.126,4.1,9824.1166,196.48,2.00,206.82,2.11,-0.004,0.00,2169.54,21.70,98
31,Exit long,2024-08-17 03:30,S2_LX_TP1,2504.497,4,9821.564,196.42,2.00,203.72,2.07,-20.76,-0.21,2365.96,23.66,49
31,Entry long,2024-08-16 02:00,S2_LE,2455.391,4,9821.564,196.42,2.00,203.72,2.07,-20.76,-0.21,2365.96,23.66,49
32,Exit long,2024-08-22 22:00,S2_SL,2478.969,3.9,9765.6429,-97.66,-1.00,107.87,1.10,-97.66,-1.00,2268.3,22.68,134
32,Entry long,2024-08-20 00:00,S2_LE,2504.011,3.9,9765.6429,-97.66,-1.00,107.87,1.10,-97.66,-1.00,2268.3,22.68,134
33,Exit long,2024-09-16 18:30,S2_LX_TP1,2578.034,4,9959.364,352.77,3.54,399.36,4.01,-73.36,-0.74,2621.07,26.21,746
33,Entry long,2024-08-23 11:00,S2_LE,2489.841,4,9959.364,352.77,3.54,399.36,4.01,-73.36,-0.74,2621.07,26.21,746
34,Exit long,2024-09-19 03:30,S2_SL,2547.121,3.8,9776.8338,-97.77,-1.00,103.7,1.06,-97.77,-1.00,2523.3,25.23,34
34,Entry long,2024-09-18 10:30,S2_LE,2572.851,3.8,9776.8338,-97.77,-1.00,103.7,1.06,-97.77,-1.00,2523.3,25.23,34
35,Exit long,2024-09-20 21:00,S2_LX_TP1,2613.852,3.9,9994.1439,199.88,2.00,221.36,2.21,-2.79,-0.03,2723.18,27.23,63
35,Entry long,2024-09-19 12:30,S2_LE,2562.601,3.9,9994.1439,199.88,2.00,221.36,2.21,-2.79,-0.03,2723.18,27.23,63
36,Exit long,2024-09-30 19:00,S2_SL,2634.884,3.7,9847.5537,-98.48,-1.00,89.09,0.90,-98.48,-1.00,2624.69,26.25,109
