Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
89,Entry long,2025-08-20 18:30,S2_LE,3326.791,3,9980.373,199.6,2.00,202.59,2.03,-17.24,-0.17,4776.75,47.77,205
90,Exit long,2025-09-02 15:30,S2_LX_TP1,3472.144,2.9,9848.2434,220.97,2.24,326.96,3.32,-33.51,-0.34,4997.72,49.98,154
90,Entry long,2025-08-28 04:00,S2_LE,3395.946,2.9,9848.2434,220.97,2.24,326.96,3.32,-33.51,-0.34,4997.72,49.98,154
91,Exit long,2025-09-08 20:00,S2_LX_TP1,3619.194,2.8,9935.0468,198.7,2.00,207.93,2.09,-38.31,-0.39,5196.42,51.96,90
91,Entry long,2025-09-04 21:00,S2_LE,3548.231,2.8,9935.0468,198.7,2.00,207.93,2.09,-38.31,-0.39,5196.42,51.96,90
92,Exit long,2025-09-23 17:30,S2_LX_TP2,3780.025,2.7,9813.5307,392.54,4.00,422.39,4.30,-22.93,-0.23,5588.96,55.89,352
92,Entry long,2025-09-12 01:30,S2_LE,3634.641,2.7,9813.5307,392.54,4.00,422.39,4.30,-22.93,-0.23,5588.96,55.89,352
93,Exit long,2025-09-24 23:30,S2_SL,3746.951,2.6,9840.48,-98.41,-1.00,10.5,0.11,-98.41,-1.00,5490.55,54.91,57
93,Entry long,2025-09-23 18:00,S2_LE,3784.8,2.6,9840.48,-98.41,-1.00,10.5,0.11,-98.41,-1.00,5490.55,54.91,57
94,Exit long,2025-09-29 20:00,S2_LX_TP1,3821.644,2.6,9741.4486,194.83,2.00,220.17,2.26,-20.02,-0.21,5685.38,56.85,59
94,Entry long,2025-09-26 13:30,S2_LE,3746.711,2.6,9741.4486,194.83,2.00,220.17,2.26,-20.02,-0.21,5685.38,56.85,59
95,Exit long,2025-10-06 08:00,S2_LX_TP1,3904.804,2.6,9953.4266,199.06,2.00,240.58,2.42,-91.95,-0.92,5884.44,58.84,200
95,Entry long,2025-09-29 23:00,S2_LE,3828.241,2.6,9953.4266,199.06,2.00,240.58,2.42,-91.95,-0.92,5884.44,58.84,200
96,Exit long,2025-10-08 12:30,S2_LX_TP1,4018.483,2.5,9849.2275,196.98,2.00,204.5,2.08,-33.23,-0.34,6081.42,60.81,80
96,Entry long,2025-10-06 18:30,S2_LE,3939.691,2.5,9849.2275,196.98,2.00,204.5,2.08,-33.23,-0.34,6081.42,60.81,80
97,Exit long,2025-10-13 07:30,S2_LX_TP1,4043.8,2.5,9911.2775,198.22,2.00,238.85,2.41,-6.05,-0.06,6279.64,62.80,30
97,Entry long,2025-10-10 15:30,S2_LE,3964.511,2.5,9911.2775,198.22,2.00,238.85,2.41,-6.05,-0.06,6279.64,62.80,30
98,Exit long,2025-10-14 08:00,S2_LX_TP1,4121.147,2.4,9696.8208,193.93,2.00,220.08,2.27,-11.75,-0.12,6473.57,64.74,45
98,Entry long,2025-10-13 08:30,S2_LE,4040.342,2.4,9696.8208,193.93,2.00,220.08,2.27,-11.75,-0.12,6473.57,64.74,45
99,Exit long,2025-10-16 22:30,S2_LX_TP1,4259.979,2.3,9605.8373,192.11,2.00,209.48,2.18,-28.27,-0.29,6665.69,66.66,69
99,Entry long,2025-10-15 11:00,S2_LE,4176.451,2.3,9605.8373,192.11,2.00,209.48,2.18,-28.27,-0.29,6665.69,66.66,69
100,Exit long,2025-10-17 06:30,S2_LX_TP1,4367.949,2.3,9849.9823,196.3,1.99,225.83,2.29,-22.19,-0.23,6861.99,68.62,9
100,Entry long,2025-10-17 01:00,S2_LE,4282.601,2.3,9849.9823,196.3,1.99,225.83,2.29,-22.19,-0.23,6861.99,68.62,9
101,Exit long,2025-10-21 01:00,S2_LX_TP1,4340.859,2.3,9788.2158,195.76,2.00,229.5,2.34,-11.69,-0.12,7057.75,70.58,13
101,Entry long,2025-10-20 18:30,S2_LE,4255.746,2.3,9788.2158,195.76,2.00,229.5,2.34,-11.69,-0.12,7057.75,70.58,13
102,Exit long,2025-10-21 13:30,S2_SL,4323.577,2.2,9607.9522,-96.08,-1.00,11.22,0.12,-96.08,-1.00,6961.67,69.62,13
102,Entry long,2025-10-21 07:00,S2_LE,4367.251,2.2,9607.9522,-96.08,-1.00,11.22,0.12,-96.08,-1.00,6961.67,69.62,13
103,Exit long,2025-10-23 14:30,S2_LX_TP1,4124.48,2.4,9704.6616,194.09,2.00,226.34,2.33,-14.91,-0.15,7155.76,71.56,26
103,Entry long,2025-10-23 00:30,S2_LE,4043.609,2.4,9704.6616,194.09,2.00,226.34,2.33,-14.91,-0.15,7155.76,71.56,26
104,Exit long,2025-10-24 14:00,S2_SL,4083.196,2.4,9898.6608,-98.99,-1.00,72.84,0.74,-98.99,-1.00,7056.77,70.57,38
104,Entry long,2025-10-23 18:00,S2_LE,4124.442,2.4,9898.6608,-98.99,-1.00,72.84,0.74,-98.99,-1.00,7056.77,70.57,38
105,Exit long,2025-10-29 18:00,S2_LX_TP1,4017.193,2.5,9846.065,196.92,2.00,228.06,2.32,-59.25,-0.60,7253.68,72.54,38
105,Entry long,2025-10-28 22:00,S2_LE,3938.426,2.5,9846.065,196.92,2.00,228.06,2.32,-59.25,-0.60,7253.68,72.54,38
106,Exit long,2025-11-04 22:30,S2_SL,3944.189,2.5,9960.0775,-99.6,-1.00,155.55,1.56,-99.6,-1.00,7154.08,71.54,143
106,Entry long,2025-10-30 19:00,S2_LE,3984.031,2.5,9960.0775,-99.6,-1.00,155.55,1.56,-99.6,-1.00,7154.08,71.54,143
107,Exit long,2025-11-10 11:30,S2_LX_TP1,4048.841,2.5,9923.6325,198.47,2.00,209.57,2.11,-14.81,-0.15,7352.55,73.53,119
107,Entry long,2025-11-05 21:00,S2_LE,3969.453,2.5,9923.6325,198.47,2.00,209.57,2.11,-14.81,-0.15,7352.55,73.53,119
108,Exit long,2025-11-14 02:30,S2_LX_TP1,4184.269,2.4,9800.3232,241.92,2.47,388.2,3.96,-14.1,-0.14,7594.47,75.94,145
108,Entry long,2025-11-10 23:00,S2_LE,4083.468,2.4,9800.3232,241.92,2.47,388.2,3.96,-14.1,-0.14,7594.47,75.94,145
109,Exit long,2025-11-18 03:30,S2_SL,4031.715,2.4,9773.8584,-97.74,-1.00,20.57,0.21,-97.74,-1.00,7496.73,74.97,8
109,Entry long,2025-11-17 23:30,S2_LE,4072.441,2.4,9773.8584,-97.74,-1.00,20.57,0.21,-97.74,-1.00,7496.73,74.97,8
110,Exit long,2025-11-25 11:00,S2_LX_TP1,4148.564,2.4,9761.3304,195.22,2.00,212.87,2.18,-65.59,-0.67,7691.95,76.92,56
110,Entry long,2025-11-22 05:00,S2_LE,4067.221,2.4,9761.3304,195.22,2.00,212.87,2.18,-65.59,-0.67,7691.95,76.92,56
111,Exit long,2025-12-12 02:30,S2_LX_TP1,4268.516,2.3,9625.0883,192.5,2.00,232.67,2.42,-85.36,-0.89,7884.45,78.84,436
111,Entry long,2025-11-28 13:30,S2_LE,4184.821,2.3,9625.0883,192.5,2.00,232.67,2.42,-85.36,-0.89,7884.45,78.84,436
112,Exit long,2025-12-24 08:30,S2_LX_TP2,4510.402,2.3,9974.9298,398.99,4.00,417.25,4.18,-65.87,-0.66,8283.44,82.83,133
112,Entry long,2025-12-18 04:00,S2_LE,4336.926,2.3,9974.9298,398.99,4.00,417.25,4.18,-65.87,-0.66,8283.44,82.83,133
113,Exit long,2025-12-31 03:30,S2_SL,4344.382,2.2,9654.1852,-96.54,-1.00,8.54,0.09,-96.54,-1.00,8186.9,81.87,11
113,Entry long,2025-12-30 22:00,S2_LE,4388.266,2.2,9654.1852,-96.54,-1.00,8.54,0.09,-96.54,-1.00,8186.9,81.87,11
114,Exit long,2026-01-02 23:00,S2_SL,4336.026,2.2,9635.6172,-96.36,-1.00,49.56,0.51,-96.36,-1.00,8090.54,80.91,17
114,Entry long,2026-01-02 14:30,S2_LE,4379.826,2.2,9635.6172,-96.36,-1.00,49.56,0.51,-96.36,-1.00,8090.54,80.91,17
115,Exit long,2026-01-12 07:30,S2_LX_TP1,4537.447,2.2,9786.7242,195.66,2.00,197.71,2.02,-90.36,-0.92,8286.2,82.86,197
115,Entry long,2026-01-06 00:00,S2_LE,4448.511,2.2,9786.7242,195.66,2.00,197.71,2.02,-90.36,-0.92,8286.2,82.86,197
116,Exit long,2026-01-15 09:30,S2_SL,4589.214,2.1,9734.6991,-97.35,-1.00,15.6,0.16,-97.35,-1.00,8188.85,81.89,21
116,Entry long,2026-01-14 22:00,S2_LE,4635.571,2.1,9734.6991,-97.35,-1.00,15.6,0.16,-97.35,-1.00,8188.85,81.89,21
117,Exit long,2026-01-16 23:00,S2_SL,4571.265,2.1,9696.6261,-96.97,-1.00,8.72,0.09,-96.97,-1.00,8091.88,80.92,38
117,Entry long,2026-01-16 03:00,S2_LE,4617.441,2.1,9696.6261,-96.97,-1.00,8.72,0.09,-96.97,-1.00,8091.88,80.92,38
118,Exit long,2026-01-21 23:00,S2_SL,4816.013,2,9729.322,-97.3,-1.00,32.5,0.33,-97.3,-1.00,7994.58,79.95,5
118,Entry long,2026-01-21 20:30,S2_LE,4864.661,2,9729.322,-97.3,-1.00,32.5,0.33,-97.3,-1.00,7994.58,79.95,5
119,Exit long,2026-01-23 04:30,S2_LX_TP1,4918.666,2,9644.446,192.89,2.00,212.53,2.20,-4.07,-0.04,8187.47,81.87,13
119,Entry long,2026-01-22 22:00,S2_LE,4822.223,2,9644.446,192.89,2.00,212.53,2.20,-4.07,-0.04,8187.47,81.87,13
120,Exit long,2026-01-27 05:30,S2_SL,4992.114,1.9,9580.8279,-95.81,-1.00,130.4,1.36,-95.81,-1.00,8091.66,80.92,42
120,Entry long,2026-01-26 08:30,S2_LE,5042.541,1.9,9580.8279,-95.81,-1.00,130.4,1.36,-95.81,-1.00,8091.66,80.92,42
121,Exit long,2026-01-29 08:00,S2_LX_TP2,5469.432,1.9,9992.2349,399.69,4.00,645.39,6.46,-44.97,-0.45,8491.34,84.91,23
121,Entry long,2026-01-28 19:30,S2_LE,5259.071,1.9,9992.2349,399.69,4.00,645.39,6.46,-44.97,-0.45,8491.34,84.91,23
122,Exit long,2026-01-29 23:00,S2_SL,5442.74,1.8,9895.8942,-98.96,-1.00,175.88,1.78,-98.96,-1.00,8392.38,83.92,29
122,Entry long,2026-01-29 08:30,S2_LE,5497.719,1.8,9895.8942,-98.96,-1.00,175.88,1.78,-98.96,-1.00,8392.38,83.92,29
123,Exit long,2026-02-03 15:00,S2_LX_TP1,4879.19,2,9567.042,191.34,2.00,220.76,2.31,-64.78,-0.68,8583.72,85.84,8
123,Entry long,2026-02-03 11:00,S2_LE,4783.521,2,9567.042,191.34,2.00,220.76,2.31,-64.78,-0.68,8583.72,85.84,8
124,Exit long,2026-02-04 09:30,S2_LX_TP1,5023.127,2,9849.272,196.98,2.00,258.25,2.62,-89.73,-0.91,8780.7,87.81,20
124,Entry long,2026-02-03 22:30,S2_LE,4924.636,2,9849.272,196.98,2.00,258.25,2.62,-89.73,-0.91,8780.7,87.81,20
125,Exit long,2026-02-04 19:00,S2_SL,5033.932,1.9,9661.0839,-96.61,-1.00,13.62,0.14,-96.61,-1.00,8684.09,86.84,6
125,Entry long,2026-02-04 16:00,S2_LE,5084.781,1.9,9661.0839,-96.61,-1.00,13.62,0.14,-96.61,-1.00,8684.09,86.84,6
126,Exit long,2026-02-10 01:30,S2_LX_TP1,5052.243,2,9906.362,198.12,2.00,256.06,2.58,-14.28,-0.14,8882.21,88.82,39
126,Entry long,2026-02-07 05:00,S2_LE,4953.181,2,9906.362,198.12,2.00,256.06,2.58,-14.28,-0.14,8882.21,88.82,39
127,Exit long,2026-02-11 21:30,S2_SL,5031.962,1.9,9657.3029,-96.58,-1.00,13.88,0.14,-96.58,-1.00,8785.64,87.86,1
127,Entry long,2026-02-11 21:00,S2_LE,5082.791,1.9,9657.3029,-96.58,-1.00,13.88,0.14,-96.58,-1.00,8785.64,87.86,1
128,Exit long,2026-02-13 00:00,S2_SL,5024.626,1.9,9643.2239,-96.43,-1.00,15.88,0.16,-96.43,-1.00,8689.2,86.89,20
128,Entry long,2026-02-12 14:00,S2_LE,5075.381,1.9,9643.2239,-96.43,-1.00,15.88,0.16,-96.43,-1.00,8689.2,86.89,20
129,Exit long,2026-02-23 23:00,S2_LX_TP2,5180.531,2,9962.562,398.5,4.00,444.7,4.46,-42.54,-0.43,9087.7,90.88,123
129,Entry long,2026-02-19 07:30,S2_LE,4981.281,2,9962.562,398.5,4.00,444.7,4.46,-42.54,-0.43,9087.7,90.88,123
130,Exit long,2026-02-24 09:00,S2_SL,5155.801,1.9,9894.9739,-98.95,-1.00,79.78,0.81,-98.95,-1.00,8988.75,89.89,12
130,Entry long,2026-02-24 02:00,S2_LE,5207.881,1.9,9894.9739,-98.95,-1.00,79.78,0.81,-98.95,-1.00,8988.75,89.89,12
131,Exit long,2026-03-02 08:00,S2_LX_TP2,5375.53,1.9,9820.682,392.83,4.00,426.8,4.35,-74.64,-0.76,9381.58,93.82,115
131,Entry long,2026-02-25 19:30,S2_LE,5168.78,1.9,9820.682,392.83,4.00,426.8,4.35,-74.64,-0.76,9381.58,93.82,115
132,Exit long,2026-03-02 22:00,S2_SL,5309.805,1.8,9654.1938,-96.54,-1.00,100.58,1.04,-96.54,-1.00,9285.03,92.85,19
132,Entry long,2026-03-02 12:30,S2_LE,5363.441,1.8,9654.1938,-96.54,-1.00,100.58,1.04,-96.54,-1.00,9285.03,92.85,19
133,Exit long,2026-03-05 02:00,S2_SL,5119.499,1.9,9825.3047,-98.26,-1.00,47.57,0.48,-98.26,-1.00,9186.78,91.87,10
133,Entry long,2026-03-04 21:00,S2_LE,5171.213,1.9,9825.3047,-98.26,-1.00,47.57,0.48,-98.26,-1.00,9186.78,91.87,10
134,Exit long,2026-03-05 21:00,S2_SL,5104.479,1.9,9796.4779,-97.97,-1.00,29.6,0.30,-97.97,-1.00,9088.81,90.89,5
134,Entry long,2026-03-05 18:30,S2_LE,5156.041,1.9,9796.4779,-97.97,-1.00,29.6,0.30,-97.97,-1.00,9088.81,90.89,5
135,Exit long,2026-03-06 18:00,S2_SL,5078.333,1.9,9746.2989,-97.47,-1.00,0.91,0.01,-97.47,-1.00,8991.34,89.91,9
135,Entry long,2026-03-06 13:30,S2_LE,5129.631,1.9,9746.2989,-97.47,-1.00,0.91,0.01,-97.47,-1.00,8991.34,89.91,9
136,Exit long,2026-03-10 21:30,S2_LX_TP1,5201.546,1.9,9689.1564,193.78,2.00,245.47,2.53,-20.78,-0.21,9185.12,91.85,42
136,Entry long,2026-03-09 23:30,S2_LE,5099.556,1.9,9689.1564,193.78,2.00,245.47,2.53,-20.78,-0.21,9185.12,91.85,42
137,Exit long,2026-03-13 01:30,S2_SL,5105.321,1.9,9798.0929,-97.98,-1.00,66.27,0.68,-97.98,-1.00,9087.14,90.87,22
137,Entry long,2026-03-12 14:30,S2_LE,5156.891,1.9,9798.0929,-97.98,-1.00,66.27,0.68,-97.98,-1.00,9087.14,90.87,22
138,Exit long,2026-03-25 20:30,S2_SL,4526.052,2.1,9600.7191,-96.01,-1.00,29.27,0.30,-96.01,-1.00,8991.13,89.91,15
138,Entry long,2026-03-25 13:00,S2_LE,4571.771,2.1,9600.7191,-96.01,-1.00,29.27,0.30,-96.01,-1.00,8991.13,89.91,15
139,Exit long,2026-04-13 06:00,S2_SL,4683.179,2,9537.124,-170.77,-1.79,65.38,0.69,-170.77,-1.79,8820.36,88.20,58
139,Entry long,2026-04-09 23:00,S2_LE,4768.562,2,9537.124,-170.77,-1.79,65.38,0.69,-170.77,-1.79,8820.36,88.20,58
140,Exit long,2026-04-20 06:00,S2_SL,4765.305,2,9626.882,-96.27,-1.00,155.05,1.61,-96.27,-1.00,8724.09,87.24,70
140,Entry long,2026-04-16 17:00,S2_LE,4813.441,2,9626.882,-96.27,-1.00,155.05,1.61,-96.27,-1.00,8724.09,87.24,70
141,Exit long,2026-04-20 07:30,S2_SL,4737.151,2,9570.006,-95.7,-1.00,11.63,0.12,-95.7,-1.00,8628.39,86.28,2
141,Entry long,2026-04-20 06:30,S2_LE,4785.003,2,9570.006,-95.7,-1.00,11.63,0.12,-95.7,-1.00,8628.39,86.28,2
142,Exit long,2026-04-21 22:30,S2_SL,4759.766,2,9615.692,-96.16,-1.00,50.77,0.53,-96.16,-1.00,8532.23,85.32,44
142,Entry long,2026-04-20 23:30,S2_LE,4807.846,2,9615.692,-96.16,-1.00,50.77,0.53,-96.16,-1.00,8532.23,85.32,44
143,Exit long,2026-05-01 16:00,S2_SL,4573.423,2.1,9701.2041,-97.02,-1.00,34.67,0.36,-97.02,-1.00,8435.21,84.35,32
143,Entry long,2026-04-30 23:00,S2_LE,4619.621,2.1,9701.2041,-97.02,-1.00,34.67,0.36,-97.02,-1.00,8435.21,84.35,32
144,Exit long,2026-05-04 18:00,S2_SL,4568.897,2.1,9691.6029,-96.92,-1.00,1.07,0.01,-96.92,-1.00,8338.29,83.38,12
144,Entry long,2026-05-04 12:00,S2_LE,4615.049,2.1,9691.6029,-96.92,-1.00,1.07,0.01,-96.92,-1.00,8338.29,83.38,12
145,Exit long,2026-05-06 16:00,S2_LX_TP1,4675.713,2.1,9626.4714,192.53,2.00,206.8,2.15,-80.82,-0.84,8530.82,85.31,33
145,Entry long,2026-05-05 22:30,S2_LE,4584.034,2.1,9626.4714,192.53,2.00,206.8,2.15,-80.82,-0.84,8530.82,85.31,33
146,Exit long,2026-05-15 08:00,S2_SL,4636.239,2.1,9834.4491,-98.35,-1.00,190.07,1.93,-98.35,-1.00,8432.47,84.32,297
146,Entry long,2026-05-06 20:30,S2_LE,4683.071,2.1,9834.4491,-98.35,-1.00,190.07,1.93,-98.35,-1.00,8432.47,84.32,297
147,Exit long,2026-05-19 21:00,S2_SL,4505.014,2.1,9556.0941,-95.56,-1.00,81.58,0.85,-95.56,-1.00,8336.91,83.37,57
147,Entry long,2026-05-18 15:30,S2_LE,4550.521,2.1,9556.0941,-95.56,-1.00,81.58,0.85,-95.56,-1.00,8336.91,83.37,57
148,Exit long,2026-06-01 21:00,S2_SL,4485.145,2.2,9966.9922,-99.67,-1.00,142.78,1.43,-99.67,-1.00,8237.23,82.37,51
148,Entry long,2026-05-29 18:30,S2_LE,4530.451,2.2,9966.9922,-99.67,-1.00,142.78,1.43,-99.67,-1.00,8237.23,82.37,51
149,Exit long,2026-06-03 21:30,S2_SL,4438.007,2.2,9862.2414,-98.63,-1.00,129.14,1.31,-98.63,-1.00,8138.61,81.39,84
149,Entry long,2026-06-02 01:30,S2_LE,4482.837,2.2,9862.2414,-98.63,-1.00,129.14,1.31,-98.63,-1.00,8138.61,81.39,84
150,Exit long,2026-06-05 20:30,S2_SL,4421.373,2.2,9825.277,-98.26,-1.00,21.59,0.22,-98.26,-1.00,8040.35,80.40,2
150,Entry long,2026-06-05 19:30,S2_LE,4466.035,2.2,9825.277,-98.26,-1.00,21.59,0.22,-98.26,-1.00,8040.35,80.40,2
151,Exit long,2026-06-12 07:00,S2_LX_TP2,4237.695,2.4,9779.2992,391.17,4.00,412.46,4.22,-11.06,-0.11,8431.52,84.32,15
151,Entry long,2026-06-11 22:30,S2_LE,4074.708,2.4,9779.2992,391.17,4.00,412.46,4.22,-11.06,-0.11,8431.52,84.32,15
152,Exit long,2026-06-15 23:00,S2_LX_TP2,4351.63,2.3,9623.8003,384.95,4.00,425.93,4.43,-33.08,-0.34,8816.47,88.16,62
152,Entry long,2026-06-12 15:00,S2_LE,4184.261,2.3,9623.8003,384.95,4.00,425.93,4.43,-33.08,-0.34,8816.47,88.16,62
153,Exit long,2026-06-18 02:00,S2_SL,4297.51,2.3,9984.1183,-99.85,-1.00,95.52,0.96,-99.85,-1.00,8716.62,87.17,58
153,Entry long,2026-06-16 20:00,S2_LE,4340.921,2.3,9984.1183,-99.85,-1.00,95.52,0.96,-99.85,-1.00,8716.62,87.17,58
154,Exit long,2026-06-26 22:00,S2_LX_TP1,4068.912,2.5,9972.8275,199.45,2.00,222.25,2.23,-39.48,-0.40,8916.08,89.16,53
154,Entry long,2026-06-25 18:30,S2_LE,3989.131,2.5,9972.8275,199.45,2.00,222.25,2.23,-39.48,-0.40,8916.08,89.16,53
155,Exit long,2026-07-06 17:30,S2_SL,4136.665,2.3,9610.4373,-96.11,-1.00,56.95,0.59,-96.11,-1.00,8819.97,88.20,47
155,Entry long,2026-07-03 13:00,S2_LE,4178.451,2.3,9610.4373,-96.11,-1.00,56.95,0.59,-96.11,-1.00,8819.97,88.20,47
156,Exit long,2026-07-07 13:30,S2_SL,4118.137,2.4,9983.3664,-99.84,-1.00,7.38,0.07,-99.84,-1.00,8720.13,87.20,10
156,Entry long,2026-07-07 08:30,S2_LE,4159.736,2.4,9983.3664,-99.84,-1.00,7.38,0.07,-99.84,-1.00,8720.13,87.20,10
157,Exit long,2026-07-08 03:00,S2_SL,4112.529,2.4,9969.7704,-99.7,-1.00,3.93,0.04,-99.7,-1.00,8620.43,86.20,8
157,Entry long,2026-07-07 23:00,S2_LE,4154.071,2.4,9969.7704,-99.7,-1.00,3.93,0.04,-99.7,-1.00,8620.43,86.20,8
158,Exit long,2026-07-11 04:30,Open,4120.378,2.4,9785.0184,103.89,1.06,146.4,1.50,-55.73,-0.57,8724.32,87.24,88
158,Entry long,2026-07-09 07:30,S2_LE,4077.091,2.4,9785.0184,103.89,1.06,146.4,1.50,-55.73,-0.57,8724.32,87.24,88
