time,open,high,low,close,Basis,Upper,Lower,FP_ok,FP_DeltaRatio,FP_POCpos,FP_VALpos,FP_VAHpos,FP_BuyStackFull,FP_BuyStackLow33,FP_BuyStackLow50,FP_SellImbLow33,FP_SellImbLow50,FP_TotalVol,TickVol,CHK_MA60,CHK_RSI14,CHK_RSI60,CHK_RSIMA60,CHK_BBWrank60,CHK_Slope240,CHK_Z240,CHK_WVWAP
2024-01-02T07:00:00+08:00,2063.044,2068.05,2062.4,2065.21,,,,0,,,,,0,0,0,0,0,,6684,2064.3430000000003,,41.298696612447344,41.738250819693995,21.666666666666668,0.0639042091139638,-0.2021123193572457,
2024-01-02T07:30:00+08:00,2065.2,2065.53,2062.8,2063.74,,,,0,,,,,0,0,0,0,0,,6656,2063.1696666666667,,43.585483467909256,41.78954184896446,23.333333333333332,0.0639042091139638,-0.3736504890104683,
2024-01-02T08:00:00+08:00,2063.593,2065.05,2061.9,2063.39,,,,0,,,,,0,0,0,0,0,,9365,2063.1696666666667,,43.585483467909256,41.78954184896446,23.333333333333332,0.0639042091139638,-0.414492910356456,
2024-01-02T08:30:00+08:00,2063.315,2065.89,2062.7,2065.434,,,,0,,,,,0,0,0,0,0,,7222,2063.924333333334,,46.893287739667365,42.42424369319451,20,0.0639042091139638,-0.17597316969578808,
2024-01-02T09:00:00+08:00,2065.44,2069.87,2064.7,2068.445,,,,0,,,,,0,0,0,0,0,,19972,2063.924333333334,,46.893287739667365,42.42424369319451,20,0.0639042091139638,0.1753883465122107,
2024-01-02T09:30:00+08:00,2068.436,2069.09,2066,2066.515,,,,0,,,,,0,0,0,0,0,,15016,2065.2296666666666,,48.95031010062603,43.29578327963026,16.666666666666668,0.0639042091139638,-0.04982843405289966,
2024-01-02T10:00:00+08:00,2066.526,2067.1,2063.6,2066.3,,,,0,,,,,0,0,0,0,0,,12260,2065.2296666666666,,48.95031010062603,43.29578327963026,16.666666666666668,0.0639042091139638,-0.07491735002254825,
2024-01-02T10:30:00+08:00,2066.744,2068.37,2065.5,2067.81,,,,0,,,,,0,0,0,0,0,,13052,2066.586333333333,,51.379906548474,43.842038178772825,3.3333333333333335,0.014885278877187626,0.09210224497490732,
2024-01-02T11:00:00+08:00,2067.764,2070.02,2066.1,2069.77,,,,0,,,,,0,0,0,0,0,,10536,2066.586333333333,,51.379906548474,43.842038178772825,3.3333333333333335,0.014885278877187626,0.32196847429513764,
2024-01-02T11:30:00+08:00,2069.695,2070.39,2068.2,2069.62,,,,0,,,,,0,0,0,0,0,,6657,2067.9816666666666,,54.63005206897061,44.88300123252443,1.6666666666666667,0.014885278877187626,0.304376671030824,
2024-01-02T12:00:00+08:00,2069.64,2070.68,2068.5,2069.1,,,,0,,,,,0,0,0,0,0,,6307,2067.9816666666666,,54.63005206897061,44.88300123252443,1.6666666666666667,0.014885278877187626,0.243391753047909,
2024-01-02T12:30:00+08:00,2069.56,2070.39,2068.6,2069.61,,,,0,,,,,0,0,0,0,0,,6348,2069.013333333334,,54.60833245808265,46.478562212309164,0,0.014885278877187626,0.30320388414656485,
2024-01-02T13:00:00+08:00,2069.566,2071.9,2069.1,2071.48,,,,0,,,,,0,0,0,0,0,,8251,2069.013333333334,,54.60833245808265,46.478562212309164,0,0.014885278877187626,0.5225150315081963,
2024-01-02T13:30:00+08:00,2071.48,2074.852,2070.4,2074.406,,,,0,,,,,0,0,0,0,0,,13887,2071.212,,62.34135052779928,48.07196181926743,8.333333333333334,0.014885278877187626,0.8656724738505257,
2024-01-02T14:00:00+08:00,2074.48,2076.73,2072.7,2075.89,,,,0,,,,,0,0,0,0,0,,12495,2071.212,76.76691729323231,62.34135052779928,48.07196181926743,8.333333333333334,0.014885278877187626,1.039714047478688,
