time,open,high,low,close,FP_ok,FP_DeltaRatio,FP_POCpos,FP_VALpos,FP_VAHpos,FP_BuyStackFull,FP_BuyStackLow33,FP_BuyStackLow50,FP_SellImbLow33,FP_SellImbLow50,FP_TotalVol,TickVol,CHK_MA60,CHK_RSI14,CHK_RSI60,CHK_RSIMA60,CHK_BBWrank60,CHK_Slope240,CHK_Z240,CHK_WVWAP
2026-03-04T01:00:00+08:00,5106.829,5109.968,5080.17,5083.18,0,,,,,0,0,0,0,0,,110893,5079.821000000018,34.725076554515326,35.01042125508965,40.24346689154756,100,1.1525137700065888,-2.2403467066941007,5286.366407278281
2026-03-04T01:30:00+08:00,5083.244,5086.109,5064.68,5079.1,0,,,,,0,0,0,0,0,,104899,5093.538333333351,34.3389207934581,33.118441211680974,38.39624090989805,100,1.1525137700065888,-2.295418621214663,5282.923437751408
2026-03-04T02:00:00+08:00,5079.08,5117.19,5078.46,5111.72,0,,,,,0,0,0,0,0,,94074,5093.538333333351,40.07645492262833,33.118441211680974,38.39624090989805,100,1.1525137700065888,-1.8551132654154538,5280.305211085335
2026-03-04T02:30:00+08:00,5111.925,5138.33,5106.58,5136.004,0,,,,,0,0,0,0,0,,82094,5107.136333333351,43.999557594336764,40.37642473741061,37.199143771099166,100,0.6553948905463032,-1.2959412360816744,5278.388193762727
2026-03-04T03:00:00+08:00,5136.004,5149.02,5101.43,5106.553,0,,,,,0,0,0,0,0,,80357,5107.136333333351,40.53368371387114,40.37642473741061,37.199143771099166,100,0.6553948905463032,-1.6687524094419177,5276.461240740003
2026-03-04T03:30:00+08:00,5106.518,5128.35,5098.95,5113.15,0,,,,,0,0,0,0,0,,96660,5109.418000000018,41.64258180787363,38.56624755217848,36.62780530354225,100,0.6553948905463032,-1.5852430104178632,5274.125098688255
2026-03-04T04:00:00+08:00,5112.77,5130.534,5111.62,5122.615,0,,,,,0,0,0,0,0,,87860,5109.418000000018,43.27691009841845,38.56624755217848,36.62780530354225,100,0.6553948905463032,-1.4654284793033083,5272.163258047893
2026-03-04T04:30:00+08:00,5122.96,5126.49,5085.43,5097.097,0,,,,,0,0,0,0,0,,94684,5115.417000000019,40.02259798111466,37.30123424265067,36.099993853892,100,0.6553948905463032,-1.7884530123176947,5269.850705102473
2026-03-04T05:00:00+08:00,5096.969,5110.45,5088.95,5089.04,0,,,,,0,0,0,0,0,,56550,5115.417000000019,39.02477213771341,37.30123424265067,36.099993853892,100,0.6553948905463032,-1.890444103410133,5268.443898157471
2026-03-04T05:30:00+08:00,5089.45,5096.389,5082.78,5088.33,0,,,,,0,0,0,0,0,,37862,5099.525666666685,38.93265653919591,36.595254935923904,35.21189545281818,100,0.04558442628745375,-1.7385878944238318,5267.477017446368
2026-03-04T07:00:00+08:00,5101.22,5128.318,5083.21,5126.12,0,,,,,0,0,0,0,0,,54166,5099.525666666685,46.21036458801042,36.595254935923904,35.21189545281818,100,0.04558442628745375,-1.25463352839297,5266.2908084597775
