entry_time,exit_time,session,direction,entry_price,exit_price,exit_reason,hold_bars,pnl_pts,pnl_ntd,mfe_pts,mae_pts,win,fail_pattern
2025-06-25 01:00:00,2025-06-25 22:30:00,night,short,22080,22200,sl,33,-120,-6000,63,135,False,false_breakout
2025-07-01 10:45:00,2025-07-01 12:15:00,day,short,22541,22301,tp,3,240,12000,255,22,True,win
2025-07-03 23:30:00,2025-07-04 09:15:00,night,short,22853,22613,tp,12,240,12000,283,22,True,win
2025-07-09 12:15:00,2025-07-09 21:30:00,day,short,22380,22500,sl,16,-120,-6000,10,187,False,immediate_loss
2025-07-11 11:15:00,2025-07-14 15:00:00,day,short,22708,22468,tp,43,240,12000,247,64,True,win
2025-07-11 11:45:00,2025-07-14 15:00:00,day,short,22718,22478,tp,42,240,12000,257,54,True,win
2025-07-15 11:15:00,2025-07-16 09:15:00,day,short,22765,22885,sl,34,-120,-6000,88,130,False,normal_sl
2025-07-15 11:45:00,2025-07-16 09:45:00,day,short,22801,22921,sl,34,-120,-6000,124,137,False,normal_sl
2025-07-23 10:45:00,2025-07-24 04:00:00,day,short,23209,23329,sl,32,-120,-6000,56,134,False,false_breakout
2025-08-05 11:15:00,2025-08-06 17:30:00,day,short,23554,23334,time,48,220,11000,233,67,True,win
2025-08-18 11:45:00,2025-08-19 18:00:00,day,short,24413,24308,time,48,105,5250,140,49,True,win
2025-08-27 11:15:00,2025-08-28 11:45:00,day,short,24479,24239,tp,39,240,12000,275,10,True,win
2025-09-09 11:45:00,2025-09-10 00:30:00,day,short,24805,24925,sl,23,-120,-6000,55,130,False,false_breakout
2025-10-03 12:15:00,2025-10-03 15:00:00,day,short,26702,26822,sl,3,-120,-6000,9,133,False,immediate_loss
2025-10-27 10:45:00,2025-10-28 04:00:00,day,short,28154,28274,sl,33,-120,-6000,89,156,False,normal_sl
2025-11-10 10:45:00,2025-11-10 12:15:00,day,short,27850,27970,sl,3,-120,-6000,6,136,False,immediate_loss
2025-11-20 11:15:00,2025-11-20 15:00:00,day,short,27383,27503,sl,5,-120,-6000,7,157,False,immediate_loss
2025-11-27 00:00:00,2025-11-27 08:45:00,night,short,27395,27515,sl,10,-120,-6000,4,192,False,immediate_loss
2025-12-19 11:45:00,2025-12-19 22:30:00,day,short,27945,28065,sl,19,-120,-6000,105,200,False,normal_sl
2025-12-20 00:30:00,2025-12-22 08:45:00,night,short,28146,28266,sl,9,-120,-6000,44,157,False,false_breakout
2025-12-23 11:45:00,2025-12-24 03:00:00,day,short,28432,28552,sl,28,-120,-6000,97,127,False,normal_sl
2025-12-29 11:15:00,2025-12-30 16:30:00,day,short,28885,28878,time,48,7,350,180,112,True,win
2025-12-29 11:45:00,2025-12-30 17:00:00,day,short,28928,28876,time,48,52,2600,223,69,True,win
2026-01-02 12:15:00,2026-01-02 16:00:00,day,short,29449,29569,sl,5,-120,-6000,23,121,False,false_breakout
2026-01-05 11:45:00,2026-01-06 10:45:00,day,short,30392,30512,sl,37,-120,-6000,209,205,False,normal_sl
2026-01-19 13:15:00,2026-01-20 08:45:00,day,short,31685,31445,tp,29,240,12000,357,23,True,win
2026-01-27 11:45:00,2026-01-27 22:30:00,day,short,32507,32627,sl,19,-120,-6000,96,121,False,normal_sl
2026-03-23 21:00:00,2026-03-23 21:30:00,night,short,33529,33649,sl,1,-120,-6000,263,131,False,normal_sl
2026-04-14 00:30:00,2026-04-14 02:30:00,night,short,35839,35959,sl,4,-120,-6000,43,155,False,false_breakout
2026-04-15 01:30:00,2026-04-15 08:45:00,night,short,36905,37025,sl,7,-120,-6000,41,175,False,false_breakout
2026-04-15 02:00:00,2026-04-15 08:45:00,night,short,36932,37052,sl,6,-120,-6000,68,148,False,false_breakout
2026-04-23 00:00:00,2026-04-23 01:30:00,night,short,38470,38590,sl,3,-120,-6000,17,121,False,immediate_loss
2026-05-08 23:30:00,2026-05-09 04:30:00,night,short,42180,42300,sl,10,-120,-6000,124,120,False,normal_sl
