entry_time,exit_time,session,direction,entry_price,exit_price,exit_reason,hold_bars,pnl_pts,pnl_ntd,mfe_pts,mae_pts,win,fail_pattern
2025-06-13 23:30:00,2025-06-14 00:00:00,night,short,22113,22143,sl,1,-30,-1500,16.0,33.0,False,false_breakout
2025-06-14 00:00:00,2025-06-14 02:00:00,night,short,22121,22061,tp,4,60,3000,104.0,25.0,True,win
2025-06-14 00:30:00,2025-06-14 02:00:00,night,short,22122,22062,tp,3,60,3000,105.0,12.0,True,win
2025-06-14 01:00:00,2025-06-14 01:30:00,night,short,22123,22063,tp,1,60,3000,60.0,3.0,True,win
2025-06-14 02:00:00,2025-06-14 02:00:00,night,short,22091,22031,tp,0,60,3000,74.0,12.0,True,win
2025-06-16 15:00:00,2025-06-16 15:00:00,night,short,22057,22087,sl,0,-30,-1500,2.0,41.0,False,immediate_loss
2025-06-16 16:30:00,2025-06-16 20:00:00,night,short,22062,22092,sl,7,-30,-1500,26.0,32.0,False,normal_sl
2025-06-16 17:30:00,2025-06-16 20:00:00,night,short,22057,22087,sl,5,-30,-1500,21.0,37.0,False,normal_sl
2025-06-16 18:00:00,2025-06-16 19:30:00,night,short,22043,22073,sl,3,-30,-1500,7.0,38.0,False,false_breakout
2025-06-16 18:30:00,2025-06-16 19:30:00,night,short,22051,22081,sl,2,-30,-1500,11.0,30.0,False,false_breakout
2025-06-16 19:00:00,2025-06-16 20:00:00,night,short,22064,22094,sl,2,-30,-1500,23.0,30.0,False,normal_sl
2025-06-16 19:30:00,2025-06-16 20:00:00,night,short,22052,22082,sl,1,-30,-1500,1.0,42.0,False,immediate_loss
2025-06-18 12:45:00,2025-06-18 12:45:00,day,short,21873,21903,sl,0,-30,-1500,11.0,31.0,False,false_breakout
2025-06-18 18:00:00,2025-06-18 18:30:00,night,short,21885,21825,tp,1,60,3000,90.0,3.0,True,win
2025-06-18 22:30:00,2025-06-19 01:30:00,night,short,21875,21815,tp,6,60,3000,79.0,25.0,True,win
2025-06-18 23:00:00,2025-06-19 01:30:00,night,short,21871,21811,tp,5,60,3000,75.0,29.0,True,win
2025-06-18 23:30:00,2025-06-19 01:30:00,night,short,21871,21811,tp,4,60,3000,75.0,29.0,True,win
2025-06-19 00:00:00,2025-06-19 01:30:00,night,short,21857,21797,tp,3,60,3000,61.0,22.0,True,win
