entry_time,exit_time,session,direction,entry_price,exit_price,exit_reason,hold_bars,pnl_pts,pnl_ntd,mfe_pts,mae_pts,win,fail_pattern
2025-06-12 02:30:00,2025-06-13 08:45:00,night,short,22351,22111,tp,43,240,12000,454.0,29.0,True,win
2025-06-12 03:30:00,2025-06-13 08:45:00,night,short,22325,22085,tp,41,240,12000,428.0,30.0,True,win
2025-06-12 09:15:00,2025-06-13 08:45:00,day,short,22255,22015,tp,37,240,12000,358.0,94.0,True,win
2025-06-12 10:45:00,2025-06-12 23:00:00,day,short,22226,22346,sl,22,-120,-6000,91.0,123.0,False,normal_sl
2025-06-12 16:00:00,2025-06-12 22:00:00,night,short,22175,22295,sl,12,-120,-6000,40.0,133.0,False,false_breakout
2025-06-12 19:30:00,2025-06-12 22:00:00,night,short,22155,22275,sl,5,-120,-6000,20.0,153.0,False,false_breakout
2025-06-12 20:00:00,2025-06-12 22:00:00,night,short,22139,22259,sl,4,-120,-6000,1.0,169.0,False,immediate_loss
2025-06-13 09:15:00,2025-06-13 09:15:00,day,short,21934,22054,sl,0,-120,-6000,41.0,131.0,False,false_breakout
2025-06-16 09:15:00,2025-06-16 15:00:00,day,short,21943,22063,sl,9,-120,-6000,66.0,155.0,False,false_breakout
2025-06-16 10:45:00,2025-06-16 13:15:00,day,short,21910,22030,sl,5,-120,-6000,33.0,132.0,False,false_breakout
2025-06-17 15:30:00,2025-06-18 08:45:00,night,short,21724,21844,sl,27,-120,-6000,58.0,130.0,False,false_breakout
2025-06-18 02:00:00,2025-06-18 08:45:00,night,short,21683,21803,sl,6,-120,-6000,17.0,171.0,False,immediate_loss
2025-06-18 02:30:00,2025-06-18 08:45:00,night,short,21667,21787,sl,5,-120,-6000,1.0,187.0,False,immediate_loss
2025-06-19 09:15:00,2025-06-19 21:30:00,day,short,21778,21538,tp,22,240,12000,254.0,25.0,True,win
2025-06-19 09:45:00,2025-06-20 16:00:00,day,short,21705,21704,time,48,1,50,237.0,50.0,True,win
2025-06-19 15:30:00,2025-06-20 08:45:00,night,short,21617,21737,sl,27,-120,-6000,149.0,125.0,False,normal_sl
2025-06-19 16:00:00,2025-06-20 08:45:00,night,short,21584,21704,sl,26,-120,-6000,116.0,158.0,False,normal_sl
2025-06-19 22:00:00,2025-06-20 08:45:00,night,short,21527,21647,sl,14,-120,-6000,59.0,215.0,False,false_breakout
2025-06-19 23:30:00,2025-06-20 08:45:00,night,short,21508,21628,sl,11,-120,-6000,40.0,234.0,False,false_breakout
2025-06-20 00:00:00,2025-06-20 08:45:00,night,short,21473,21593,sl,10,-120,-6000,1.0,269.0,False,immediate_loss
2025-06-20 23:00:00,2025-06-23 16:00:00,night,short,21435,21555,sl,25,-120,-6000,229.0,120.0,False,normal_sl
2025-06-23 09:15:00,2025-06-23 15:00:00,day,short,21384,21504,sl,10,-120,-6000,178.0,145.0,False,normal_sl
2025-06-23 09:45:00,2025-06-23 09:45:00,day,short,21264,21384,sl,0,-120,-6000,4.0,129.0,False,immediate_loss
2025-06-26 13:15:00,2025-06-27 19:30:00,day,short,22130,22109,time,48,21,1050,142.0,90.0,True,win
2025-06-26 15:00:00,2025-06-27 20:00:00,night,short,22121,22094,time,48,27,1350,133.0,99.0,True,win
2025-06-26 15:30:00,2025-06-27 03:30:00,night,short,22060,22180,sl,24,-120,-6000,51.0,122.0,False,false_breakout
2025-06-27 11:15:00,2025-06-27 22:00:00,day,short,22035,22155,sl,19,-120,-6000,47.0,128.0,False,false_breakout
2025-06-30 21:00:00,2025-07-01 08:45:00,night,short,22080,22200,sl,16,-120,-6000,68.0,379.0,False,false_breakout
2025-06-30 22:00:00,2025-07-01 08:45:00,night,short,22056,22176,sl,14,-120,-6000,21.0,403.0,False,false_breakout
2025-07-01 20:30:00,2025-07-02 22:30:00,night,short,22326,22446,sl,42,-120,-6000,118.0,154.0,False,normal_sl
2025-07-01 23:00:00,2025-07-02 22:00:00,night,short,22284,22404,sl,36,-120,-6000,76.0,147.0,False,normal_sl
2025-07-04 09:45:00,2025-07-04 16:00:00,day,short,22580,22340,tp,10,240,12000,253.0,2.0,True,win
2025-07-04 10:15:00,2025-07-07 08:45:00,day,short,22522,22282,tp,35,240,12000,276.0,33.0,True,win
2025-07-04 11:45:00,2025-07-07 18:00:00,day,short,22473,22371,time,48,102,5100,227.0,32.0,True,win
2025-07-04 15:00:00,2025-07-07 20:00:00,night,short,22423,22377,time,48,46,2300,177.0,82.0,True,win
2025-07-04 15:30:00,2025-07-07 08:45:00,night,short,22369,22489,sl,27,-120,-6000,123.0,136.0,False,normal_sl
2025-07-07 09:15:00,2025-07-07 09:15:00,day,short,22247,22367,sl,0,-120,-6000,1.0,178.0,False,immediate_loss
2025-07-08 01:00:00,2025-07-09 09:45:00,night,short,22294,22356,time,48,-62,-3100,152.0,110.0,False,time_bleed
2025-07-08 02:30:00,2025-07-08 08:45:00,night,short,22204,22324,sl,5,-120,-6000,30.0,194.0,False,false_breakout
2025-07-08 10:15:00,2025-07-08 10:45:00,day,short,22157,22277,sl,1,-120,-6000,1.0,158.0,False,immediate_loss
2025-07-10 22:00:00,2025-07-11 09:15:00,night,short,22536,22656,sl,15,-120,-6000,49.0,159.0,False,false_breakout
2025-07-14 08:45:00,2025-07-15 09:45:00,day,short,22656,22776,sl,40,-120,-6000,195.0,226.0,False,normal_sl
2025-07-14 09:15:00,2025-07-15 09:15:00,day,short,22567,22687,sl,38,-120,-6000,106.0,138.0,False,normal_sl
2025-07-14 10:45:00,2025-07-15 09:15:00,day,short,22548,22668,sl,35,-120,-6000,87.0,157.0,False,normal_sl
2025-07-14 13:15:00,2025-07-15 09:15:00,day,short,22531,22651,sl,30,-120,-6000,70.0,174.0,False,false_breakout
2025-07-14 15:30:00,2025-07-15 01:30:00,night,short,22488,22608,sl,20,-120,-6000,3.0,124.0,False,immediate_loss
2025-07-18 09:45:00,2025-07-21 16:00:00,day,short,23286,23256,time,48,30,1500,113.0,37.0,True,win
2025-07-18 11:45:00,2025-07-21 18:00:00,day,short,23257,23253,time,48,4,200,84.0,66.0,True,win
2025-07-18 12:15:00,2025-07-21 18:30:00,day,short,23239,23250,time,48,-11,-550,66.0,84.0,False,time_bleed
2025-07-18 22:30:00,2025-07-21 21:30:00,night,short,23213,23333,sl,36,-120,-6000,40.0,130.0,False,false_breakout
2025-07-18 23:00:00,2025-07-21 21:30:00,night,short,23192,23312,sl,35,-120,-6000,19.0,151.0,False,false_breakout
