entry_time,exit_time,session,direction,entry_price,exit_price,exit_reason,hold_bars,pnl_pts,pnl_ntd,mfe_pts,mae_pts,win,fail_pattern
2025-06-17 10:15:00,2025-06-17 15:00:00,day,short,22094,21854,tp,8,240,12000,381,77.0,True,win
2025-06-17 10:45:00,2025-06-17 15:00:00,day,short,22092,21852,tp,7,240,12000,379,79.0,True,win
2025-06-17 15:30:00,2025-06-18 08:45:00,night,short,21724,21844,sl,27,-120,-6000,58,130.0,False,false_breakout
2025-06-18 02:00:00,2025-06-18 08:45:00,night,short,21683,21803,sl,6,-120,-6000,17,171.0,False,immediate_loss
2025-06-18 02:30:00,2025-06-18 08:45:00,night,short,21667,21787,sl,5,-120,-6000,1,187.0,False,immediate_loss
2025-06-19 09:15:00,2025-06-19 21:30:00,day,short,21778,21538,tp,22,240,12000,254,25.0,True,win
2025-06-19 09:45:00,2025-06-20 16:00:00,day,short,21705,21704,time,48,1,50,237,50.0,True,win
2025-06-19 10:15:00,2025-06-19 23:30:00,day,short,21720,21480,tp,24,240,12000,252,35.0,True,win
2025-06-30 21:00:00,2025-07-01 08:45:00,night,short,22080,22200,sl,16,-120,-6000,68,379.0,False,false_breakout
2025-06-30 22:00:00,2025-07-01 08:45:00,night,short,22056,22176,sl,14,-120,-6000,21,403.0,False,false_breakout
2025-07-05 01:30:00,2025-07-07 08:45:00,night,short,22342,22462,sl,7,-120,-6000,96,163.0,False,normal_sl
2025-07-07 09:15:00,2025-07-07 09:15:00,day,short,22247,22367,sl,0,-120,-6000,1,178.0,False,immediate_loss
2025-07-08 01:00:00,2025-07-09 09:45:00,night,short,22294,22356,time,48,-62,-3100,152,110.0,False,time_bleed
2025-07-14 08:45:00,2025-07-15 09:45:00,day,short,22656,22776,sl,40,-120,-6000,195,226.0,False,normal_sl
2025-07-14 09:15:00,2025-07-15 09:15:00,day,short,22567,22687,sl,38,-120,-6000,106,138.0,False,normal_sl
2025-07-14 09:45:00,2025-07-15 09:45:00,day,short,22597,22717,sl,38,-120,-6000,136,285.0,False,false_breakout
2025-07-18 22:30:00,2025-07-21 21:30:00,night,short,23213,23333,sl,36,-120,-6000,40,130.0,False,false_breakout
2025-07-18 23:00:00,2025-07-21 21:30:00,night,short,23192,23312,sl,35,-120,-6000,19,151.0,False,false_breakout
2025-07-24 21:00:00,2025-07-26 02:00:00,night,short,23282,23350,time,48,-68,-3400,92,86.0,False,time_bleed
2025-07-24 21:30:00,2025-07-26 02:30:00,night,short,23265,23340,time,48,-75,-3750,75,103.0,False,time_bleed
