entry_time,exit_time,session,direction,entry_price,exit_price,exit_reason,hold_bars,pnl_pts,pnl_ntd,mfe_pts,mae_pts,win,fail_pattern
2025-06-09 21:30:00,2025-06-10 00:30:00,night,short,21741,21861,sl,6,-120,-6000,21.0,138.0,False,false_breakout
2025-06-09 22:00:00,2025-06-10 00:30:00,night,short,21738,21858,sl,5,-120,-6000,0.0,141.0,False,immediate_loss
2025-06-12 02:00:00,2025-06-12 19:30:00,night,short,22389,22149,tp,25,240,12000,254.0,11.0,True,win
2025-06-12 02:30:00,2025-06-13 08:45:00,night,short,22351,22111,tp,43,240,12000,454.0,29.0,True,win
2025-06-12 03:00:00,2025-06-13 08:45:00,night,short,22344,22104,tp,42,240,12000,447.0,11.0,True,win
2025-06-12 03:30:00,2025-06-13 08:45:00,night,short,22325,22085,tp,41,240,12000,428.0,30.0,True,win
2025-06-12 15:30:00,2025-06-12 23:00:00,night,short,22229,22349,sl,15,-120,-6000,94.0,120.0,False,normal_sl
2025-06-12 18:30:00,2025-06-12 22:00:00,night,short,22177,22297,sl,7,-120,-6000,42.0,131.0,False,false_breakout
2025-06-18 18:30:00,2025-06-19 15:00:00,night,short,21866,21626,tp,31,240,12000,258.0,52.0,True,win
2025-06-18 19:00:00,2025-06-19 20:30:00,night,short,21802,21562,tp,41,240,12000,249.0,116.0,True,win
2025-06-18 19:30:00,2025-06-19 19:00:00,night,short,21816,21576,tp,37,240,12000,245.0,102.0,True,win
2025-06-18 20:00:00,2025-06-19 15:30:00,night,short,21831,21591,tp,29,240,12000,252.0,87.0,True,win
2025-06-18 21:30:00,2025-06-19 20:30:00,night,short,21799,21559,tp,36,240,12000,246.0,119.0,True,win
2025-06-18 22:00:00,2025-06-19 19:00:00,night,short,21815,21575,tp,32,240,12000,244.0,103.0,True,win
2025-06-19 01:30:00,2025-06-19 15:30:00,night,short,21830,21590,tp,18,240,12000,251.0,88.0,True,win
2025-06-19 03:00:00,2025-06-19 20:30:00,night,short,21802,21562,tp,25,240,12000,249.0,58.0,True,win
2025-06-19 03:30:00,2025-06-19 20:30:00,night,short,21807,21567,tp,24,240,12000,254.0,53.0,True,win
2025-06-19 04:00:00,2025-06-19 15:30:00,night,short,21833,21593,tp,13,240,12000,254.0,27.0,True,win
2025-06-20 22:30:00,2025-06-23 08:45:00,night,short,21620,21380,tp,13,240,12000,390.0,17.0,True,win
2025-06-21 04:00:00,2025-06-23 22:00:00,night,short,21442,21562,sl,27,-120,-6000,236.0,132.0,False,normal_sl
2025-06-24 01:00:00,2025-06-24 01:00:00,night,short,21410,21530,sl,0,-120,-6000,10.0,174.0,False,immediate_loss
2025-06-26 22:00:00,2025-06-27 03:00:00,night,short,22058,22178,sl,10,-120,-6000,17.0,120.0,False,immediate_loss
2025-06-26 23:00:00,2025-06-27 08:45:00,night,short,22079,22199,sl,12,-120,-6000,0.0,141.0,False,immediate_loss
2025-06-27 15:30:00,2025-06-27 23:30:00,night,short,22078,22198,sl,16,-120,-6000,41.0,135.0,False,false_breakout
2025-06-27 16:30:00,2025-06-27 23:00:00,night,short,22053,22173,sl,13,-120,-6000,16.0,122.0,False,immediate_loss
2025-06-27 18:30:00,2025-06-27 23:30:00,night,short,22060,22180,sl,10,-120,-6000,23.0,153.0,False,false_breakout
2025-06-28 03:00:00,2025-06-30 08:45:00,night,short,22086,22206,sl,4,-120,-6000,6.0,171.0,False,immediate_loss
2025-06-30 15:30:00,2025-07-01 08:45:00,night,short,22122,22242,sl,27,-120,-6000,110.0,337.0,False,false_breakout
2025-06-30 16:00:00,2025-07-01 08:45:00,night,short,22122,22242,sl,26,-120,-6000,110.0,337.0,False,false_breakout
2025-06-30 16:30:00,2025-07-01 08:45:00,night,short,22121,22241,sl,25,-120,-6000,109.0,338.0,False,false_breakout
