entry_time,exit_time,session,direction,entry_price,exit_price,exit_reason,hold_bars,pnl_pts,pnl_ntd,mfe_pts,mae_pts,win,fail_pattern
2025-06-09 16:30:00,2025-06-10 00:30:00,night,short,21748,21868,sl,16,-120,-6000,28.0,131.0,False,false_breakout
2025-06-09 20:30:00,2025-06-10 08:45:00,night,short,21766,21886,sl,17,-120,-6000,46.0,164.0,False,false_breakout
2025-06-09 23:30:00,2025-06-10 09:15:00,night,short,21821,21941,sl,12,-120,-6000,11.0,288.0,False,immediate_loss
2025-06-10 01:00:00,2025-06-10 09:15:00,night,short,21846,21966,sl,9,-120,-6000,15.0,263.0,False,immediate_loss
2025-06-10 04:00:00,2025-06-10 09:15:00,night,short,21843,21963,sl,3,-120,-6000,12.0,266.0,False,immediate_loss
2025-06-10 13:45:00,2025-06-10 21:30:00,day,short,22113,22233,sl,14,-120,-6000,1.0,129.0,False,immediate_loss
2025-06-10 21:30:00,2025-06-11 04:00:00,night,short,22185,22305,sl,13,-120,-6000,89.0,126.0,False,normal_sl
2025-06-10 23:00:00,2025-06-11 11:15:00,night,short,22226,22346,sl,17,-120,-6000,130.0,124.0,False,normal_sl
2025-06-11 09:15:00,2025-06-11 15:00:00,day,short,22255,22375,sl,9,-120,-6000,65.0,145.0,False,false_breakout
2025-06-11 13:15:00,2025-06-11 16:00:00,day,short,22302,22422,sl,3,-120,-6000,2.0,140.0,False,immediate_loss
2025-06-11 19:30:00,2025-06-12 19:30:00,night,short,22388,22148,tp,38,240,12000,253.0,103.0,True,win
2025-06-11 21:30:00,2025-06-12 15:30:00,night,short,22422,22182,tp,26,240,12000,252.0,55.0,True,win
2025-06-11 23:30:00,2025-06-12 15:30:00,night,short,22443,22203,tp,22,240,12000,273.0,10.0,True,win
2025-06-12 23:30:00,2025-06-13 08:45:00,night,short,22282,22042,tp,11,240,12000,385.0,56.0,True,win
2025-06-13 01:00:00,2025-06-13 08:45:00,night,short,22301,22061,tp,8,240,12000,404.0,29.0,True,win
2025-06-13 02:30:00,2025-06-13 08:45:00,night,short,22299,22059,tp,5,240,12000,402.0,29.0,True,win
2025-06-13 04:30:00,2025-06-13 08:45:00,night,short,22311,22071,tp,1,240,12000,414.0,5.0,True,win
2025-06-14 01:30:00,2025-06-16 22:00:00,night,short,22081,22201,sl,31,-120,-6000,213.0,150.0,False,normal_sl
2025-06-16 18:00:00,2025-06-16 21:30:00,night,short,22043,22163,sl,7,-120,-6000,7.0,133.0,False,immediate_loss
2025-06-16 19:30:00,2025-06-16 21:30:00,night,short,22052,22172,sl,4,-120,-6000,1.0,124.0,False,immediate_loss
2025-06-17 00:00:00,2025-06-17 15:00:00,night,short,22229,21989,tp,21,240,12000,516.0,31.0,True,win
2025-06-17 02:00:00,2025-06-17 15:00:00,night,short,22224,21984,tp,17,240,12000,511.0,36.0,True,win
2025-06-17 22:30:00,2025-06-18 10:15:00,night,short,21771,21891,sl,16,-120,-6000,105.0,169.0,False,normal_sl
2025-06-18 09:45:00,2025-06-18 10:15:00,day,short,21810,21930,sl,1,-120,-6000,13.0,130.0,False,immediate_loss
2025-06-18 12:45:00,2025-06-19 15:00:00,day,short,21873,21633,tp,40,240,12000,265.0,114.0,True,win
2025-06-18 16:30:00,2025-06-19 15:00:00,night,short,21910,21670,tp,35,240,12000,302.0,18.0,True,win
2025-06-20 09:15:00,2025-06-20 16:00:00,day,short,21609,21729,sl,11,-120,-6000,140.0,121.0,False,normal_sl
2025-06-20 17:00:00,2025-06-20 19:30:00,night,short,21655,21775,sl,5,-120,-6000,8.0,133.0,False,immediate_loss
2025-06-20 18:30:00,2025-06-20 22:30:00,night,short,21677,21437,tp,8,240,12000,252.0,111.0,True,win
2025-06-20 19:30:00,2025-06-20 22:30:00,night,short,21689,21449,tp,6,240,12000,264.0,99.0,True,win
2025-06-20 22:00:00,2025-06-23 08:45:00,night,short,21621,21381,tp,14,240,12000,391.0,41.0,True,win
2025-06-23 17:30:00,2025-06-23 22:00:00,night,short,21440,21560,sl,9,-120,-6000,63.0,134.0,False,false_breakout
2025-06-23 23:00:00,2025-06-24 08:45:00,night,short,21526,21646,sl,12,-120,-6000,176.0,402.0,False,false_breakout
2025-06-24 17:00:00,2025-06-25 00:30:00,night,short,21970,22090,sl,15,-120,-6000,42.0,121.0,False,false_breakout
2025-06-25 00:00:00,2025-06-25 03:00:00,night,short,22039,22159,sl,6,-120,-6000,5.0,121.0,False,immediate_loss
2025-06-25 09:15:00,2025-06-25 22:30:00,day,short,22081,22201,sl,24,-120,-6000,64.0,134.0,False,false_breakout
2025-06-25 16:00:00,2025-06-26 09:45:00,night,short,22131,22251,sl,28,-120,-6000,24.0,126.0,False,false_breakout
2025-06-25 18:00:00,2025-06-26 09:45:00,night,short,22137,22257,sl,24,-120,-6000,16.0,120.0,False,immediate_loss
2025-06-25 21:30:00,2025-06-27 02:30:00,night,short,22166,22165,time,48,1,50,157.0,98.0,True,win
2025-06-26 02:00:00,2025-06-27 10:45:00,night,short,22160,22034,time,48,126,6300,155.0,104.0,True,win
2025-06-26 09:45:00,2025-06-27 16:00:00,day,short,22173,22052,time,48,121,6050,185.0,91.0,True,win
2025-06-26 10:45:00,2025-06-27 17:00:00,day,short,22169,22071,time,48,98,4900,181.0,51.0,True,win
