time,open,high,low,close,Basis,Upper,Lower,RSI,RSI-based MA,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label
2012-08-16,2740,2774,2738.25,2763.5,2659.225,2789.827727766313,2528.622272233687,71.24019502138509,62.815758508747614,,,,
2012-08-17,2765.75,2780.5,2763.25,2776,2667.3625,2805.553443534653,2529.1715564653473,72.66756762367973,63.95449566496261,,,,
2012-08-20,2774.75,2784.25,2767,2780,2677.4,2817.6797562016573,2537.120243798343,73.12718791804359,65.11951044135695,,,,
2012-08-21,2781,2802.5,2761.5,2774,2688.675,2821.765861820016,2555.584138179984,71.19327970841329,66.2836423878613,,,,
2012-08-22,2775.5,2789.75,2759,2781.25,2700.5625,2821.5864516583392,2579.5385483416608,72.15163837231367,67.59532041510373,,,,
2012-08-23,2782,2792.5,2754,2761,2709.9875,2818.3480642057857,2601.6269357942147,65.58819639304188,67.94548922350434,,,,
2012-08-24,2762.25,2785.25,2750.5,2775,2716.6375,2823.8101964996276,2609.464803500372,67.77102500713723,68.32434372495337,,,,
2012-08-27,2784,2795.75,2776.5,2782.75,2723.9875,2828.0812648228566,2619.8937351771438,68.94537315673044,68.60241658949128,,,,
2012-08-28,2783.25,2790.5,2771,2780.75,2731.2,2829.896580487899,2632.5034195121007,68.2541907538171,68.87830378631445,,,,
2012-08-29,2782,2790.5,2771.25,2781.25,2739.0125,2827.002197550363,2651.022802449637,68.33964389539234,69.06951347247663,,,,
2012-08-30,2781.25,2782.5,2750.25,2753.75,2745.775,2814.3173044549544,2677.2326955450458,58.94209540676436,68.56192847899797,,,,
2012-08-31,2755,2785.25,2745.25,2771,2750.775,2810.833700452105,2690.7162995478952,62.43190789711376,68.24205401725591,,,,
2012-09-04,2773,2782.75,2742.75,2774.5,2755.175,2808.240313529634,2702.1096864703663,63.116916710361544,67.99432667211359,,,,
2012-09-05,2775.25,2780.75,2757,2767.5,2758.05,2807.091716935647,2709.0082830643532,60.73180942621239,67.46435909217188,,,,
2012-09-06,2767.5,2829.5,2766.5,2825.5,2763.9875,2815.4426928865896,2712.5323071134108,70.63383451278087,67.42104762727158,,,,
2012-09-07,2826.5,2836.25,2817,2823,2769.25,2822.219566734102,2716.280433265898,69.81661520167133,67.2174081685567,,,,
2012-09-10,2822.25,2823.75,2784.5,2784.5,2772.425,2820.864162874635,2723.9858371253654,58.57684965477121,66.17809829260867,,,,
2012-09-11,2784.5,2799.75,2777.75,2779.25,2774.9875,2818.972575593852,2731.0024244061483,57.223968361719294,65.18029033927338,,,,
2012-09-12,2781.25,2800.25,2775.25,2796.25,2778.4625,2817.339638204836,2739.5853617951643,60.41233236557019,64.34176848164884,,,,
2012-09-13,2796,2842,2785.25,2827.5,2782.9125,2822.8343846624366,2742.990615337563,65.5025891326587,64.33565367733576,,,,
2012-09-14,2827.5,2865.25,2826.75,2856.5,2787.5625,2837.711496749686,2737.413503250314,69.4308137433132,64.45421001563405,,,,
2012-09-17,2858,2858.5,2845.75,2852,2791.3625,2848.466456736794,2734.2585432632063,68.1343067851631,64.39627670337924,,,,
2012-09-18,2846.75,2854.25,2838.25,2850,2794.8625,2857.1016506609717,2732.6233493390287,67.53073870732275,64.34460155720106,,,,
2012-09-19,2852.25,2866.25,2844.75,2853.5,2798.8375,2865.2538524668503,2732.42114753315,68.0639077520349,64.32490611838982,,,,
2012-09-20,2854.75,2858,2837.25,2853.25,2802.4375,2872.3629737202295,2732.5120262797705,67.97804242659018,64.97033090552024,,,,
2012-09-21,2854.25,2871.75,2852.25,2852.5,2807.0125,2877.4659376379486,2736.559062362051,67.70210598646379,65.3467736261881,,,,
2012-09-24,2852,2857.25,2826.25,2838.25,2810.175,2880.274054915153,2740.0759450848473,62.510169577953874,65.30343454530184,,,,
