Datetime,Open,High,Low,Close,Volume
2026-03-16 14:00:00+08:00,100.427,100.48,100.37,100.462,0.0
2026-03-16 14:30:00+08:00,100.462,100.474,100.389,100.393,0.0
2026-03-16 15:00:00+08:00,100.386,100.413,100.351,100.398,0.0
2026-03-16 15:30:00+08:00,100.402,100.418,100.346,100.35,0.0
2026-03-16 16:00:00+08:00,100.352,100.353,100.229,100.236,0.0
2026-03-16 16:30:00+08:00,100.239,100.246,100.188,100.192,0.0
2026-03-16 17:00:00+08:00,100.193,100.291,100.181,100.284,0.0
2026-03-16 17:30:00+08:00,100.288,100.313,100.234,100.237,0.0
2026-03-16 18:00:00+08:00,100.24,100.272,100.229,100.257,0.0
2026-03-16 18:30:00+08:00,100.258,100.274,100.234,100.266,0.0
2026-03-16 19:00:00+08:00,100.261,100.287,100.233,100.24,0.0
2026-03-16 19:30:00+08:00,100.244,100.244,100.208,100.233,0.0
2026-03-16 20:00:00+08:00,100.235,100.285,100.227,100.278,0.0
2026-03-16 20:30:00+08:00,100.28,100.308,100.272,100.307,0.0
2026-03-16 21:00:00+08:00,100.31,100.318,100.286,100.306,0.0
2026-03-16 21:30:00+08:00,100.305,100.34,100.294,100.324,0.0
2026-03-16 22:00:00+08:00,100.328,100.384,100.298,100.369,0.0
2026-03-16 22:30:00+08:00,100.37,100.402,100.339,100.34,0.0
2026-03-16 23:00:00+08:00,100.343,100.392,100.309,100.379,0.0
2026-03-16 23:30:00+08:00,100.379,100.462,100.367,100.375,0.0
2026-03-17 00:00:00+08:00,100.379,100.386,100.248,100.263,0.0
2026-03-17 00:30:00+08:00,100.266,100.315,100.246,100.25,0.0
2026-03-17 01:00:00+08:00,100.253,100.277,100.219,100.237,0.0
2026-03-17 01:30:00+08:00,100.241,100.267,100.191,100.218,0.0
2026-03-17 02:00:00+08:00,100.217,100.234,100.029,100.046,0.0
2026-03-17 02:30:00+08:00,100.051,100.095,100.03,100.04,0.0
2026-03-17 03:00:00+08:00,100.039,100.065,99.987,100.042,0.0
2026-03-17 03:30:00+08:00,100.043,100.053,99.94,99.993,0.0
2026-03-17 04:00:00+08:00,99.991,100.004,99.938,99.969,0.0
2026-03-17 04:30:00+08:00,99.969,100.042,99.92,100.038,0.0
2026-03-17 05:00:00+08:00,100.042,100.042,99.958,99.966,0.0
2026-03-17 05:30:00+08:00,99.968,99.974,99.815,99.823,0.0
2026-03-17 06:00:00+08:00,99.826,99.873,99.799,99.857,0.0
2026-03-17 06:30:00+08:00,99.86,99.978,99.859,99.917,0.0
2026-03-17 07:00:00+08:00,99.921,99.926,99.841,99.889,0.0
2026-03-17 07:30:00+08:00,99.89,99.986,99.829,99.945,0.0
2026-03-17 08:00:00+08:00,99.945,100.009,99.895,100.001,0.0
2026-03-17 08:30:00+08:00,100.0,100.016,99.853,99.902,0.0
2026-03-17 09:00:00+08:00,99.903,99.904,99.814,99.866,0.0
2026-03-17 09:30:00+08:00,99.871,99.929,99.859,99.91,0.0
2026-03-17 10:00:00+08:00,99.912,99.912,99.683,99.691,0.0
2026-03-17 10:30:00+08:00,99.695,99.717,99.664,99.712,0.0
2026-03-17 11:00:00+08:00,99.711,99.736,99.66,99.714,0.0
2026-03-17 11:30:00+08:00,99.713,99.809,99.694,99.797,0.0
2026-03-17 12:00:00+08:00,99.799,99.827,99.775,99.805,0.0
2026-03-17 12:30:00+08:00,99.8,99.811,99.789,99.81,0.0
2026-03-17 13:00:00+08:00,99.807,99.813,99.784,99.799,0.0
2026-03-17 13:30:00+08:00,99.797,99.806,99.789,99.802,0.0
2026-03-17 14:00:00+08:00,99.801,99.824,99.796,99.822,0.0
2026-03-17 15:30:00+08:00,99.863,99.876,99.845,99.859,0.0
2026-03-17 16:00:00+08:00,99.86,99.928,99.858,99.925,0.0
2026-03-17 16:30:00+08:00,99.923,99.944,99.895,99.92,0.0
2026-03-17 17:00:00+08:00,99.922,99.964,99.899,99.954,0.0
2026-03-17 17:30:00+08:00,99.952,99.969,99.908,99.919,0.0
2026-03-17 18:00:00+08:00,99.917,99.939,99.894,99.9,0.0
2026-03-17 18:30:00+08:00,99.901,99.909,99.881,99.909,0.0
2026-03-17 19:00:00+08:00,99.908,99.925,99.862,99.862,0.0
2026-03-17 19:30:00+08:00,99.864,99.929,99.846,99.926,0.0
2026-03-17 20:00:00+08:00,99.929,99.945,99.914,99.928,0.0
2026-03-17 20:30:00+08:00,99.928,99.93,99.855,99.877,0.0
2026-03-17 21:00:00+08:00,99.877,99.901,99.86,99.893,0.0
2026-03-17 21:30:00+08:00,99.896,100.037,99.892,100.027,0.0
2026-03-17 22:00:00+08:00,100.025,100.115,100.021,100.053,0.0
2026-03-17 22:30:00+08:00,100.052,100.057,100.001,100.001,0.0
2026-03-17 23:00:00+08:00,100.002,100.021,99.893,99.9,0.0
2026-03-17 23:30:00+08:00,99.903,99.919,99.846,99.895,0.0
2026-03-18 00:00:00+08:00,99.897,99.936,99.843,99.845,0.0
2026-03-18 00:30:00+08:00,99.847,99.912,99.722,99.771,0.0
2026-03-18 01:00:00+08:00,99.773,99.795,99.673,99.677,0.0
2026-03-18 01:30:00+08:00,99.685,99.783,99.679,99.728,0.0
2026-03-18 02:00:00+08:00,99.731,99.818,99.728,99.758,0.0
2026-03-18 02:30:00+08:00,99.761,99.804,99.745,99.8,0.0
2026-03-18 03:00:00+08:00,99.803,99.813,99.701,99.741,0.0
2026-03-18 03:30:00+08:00,99.738,99.803,99.714,99.796,0.0
2026-03-18 04:00:00+08:00,99.797,99.823,99.676,99.764,0.0
2026-03-18 04:30:00+08:00,99.762,99.765,99.676,99.681,0.0
2026-03-18 05:00:00+08:00,99.683,99.683,99.532,99.584,0.0
2026-03-18 05:30:00+08:00,99.588,99.63,99.523,99.607,0.0
2026-03-18 06:00:00+08:00,99.609,99.678,99.553,99.649,0.0
2026-03-18 06:30:00+08:00,99.651,99.671,99.551,99.601,0.0
2026-03-18 07:00:00+08:00,99.602,99.682,99.556,99.653,0.0
2026-03-18 07:30:00+08:00,99.657,99.707,99.634,99.665,0.0
2026-03-18 08:00:00+08:00,99.667,99.718,99.62,99.626,0.0
2026-03-18 08:30:00+08:00,99.628,99.649,99.604,99.634,0.0
2026-03-18 09:00:00+08:00,99.636,99.647,99.6,99.606,0.0
2026-03-18 09:30:00+08:00,99.609,99.614,99.55,99.553,0.0
2026-03-18 10:00:00+08:00,99.555,99.555,99.503,99.543,0.0
2026-03-18 10:30:00+08:00,99.542,99.576,99.536,99.574,0.0
2026-03-18 11:00:00+08:00,99.577,99.584,99.546,99.57,0.0
