signal_date,signal_year,entry_date,entry_price,tx_ret,z2_ret,mdd,profit_twd,signal,hold
2012-05-31,2012,2012-06-04,6970.0,0.04591104734576758,0.053173727485649636,-0.08821231422372686,53173.72748564964,MA5 週線,1M
2012-06-20,2012,2012-06-21,7117.0,-0.014612898693269635,-0.04559476581103927,-0.11046403209055233,-45594.76581103927,MA5 週線,1M
2012-07-09,2012,2012-07-10,7181.0,0.035788887341595875,0.05290433794322302,-0.1068265155783431,52904.33794322302,MA5 週線,1M
2012-07-18,2012,2012-07-19,7022.0,0.06436912560524068,0.17498001733368018,-0.04991181902188624,174980.01733368018,MA5 週線,1M
2012-08-15,2012,2012-08-16,7493.0,0.03269718403843588,0.08306106130010105,-0.048494686889375416,83061.06130010105,MA5 週線,1M
2012-08-20,2012,2012-08-21,7515.0,0.031137724550898204,0.08298126097540615,-0.04849468688937546,82981.26097540614,MA5 週線,1M
2012-08-24,2012,2012-08-27,7454.0,0.03300241481083982,0.05629748973625692,-0.04133324432537133,56297.489736256925,MA5 週線,1M
2012-09-05,2012,2012-09-06,7332.0,0.05032733224222586,0.09843656090042208,-0.02665119634213895,98436.56090042208,MA5 週線,1M
2012-09-20,2012,2012-09-21,7761.0,-0.04818966628011854,-0.09198671936928737,-0.09804437086392064,-91986.71936928737,MA5 週線,1M
2012-09-25,2012,2012-09-26,7700.0,-0.07896103896103897,-0.16509711957871775,-0.16509711957871775,-165097.11957871774,MA5 週線,1M
2012-10-03,2012,2012-10-04,7706.0,-0.06553335063586815,-0.12754225951656417,-0.15411533979688066,-127542.25951656417,MA5 週線,1M
2012-10-19,2012,2012-10-22,7347.0,-0.040696883081529876,-0.09133839064088523,-0.09133839064088523,-91338.39064088522,MA5 週線,1M
2012-11-08,2012,2012-11-09,7286.0,0.05119407082075213,0.12857971586631334,-0.06499726369645661,128579.71586631333,MA5 週線,1M
2012-11-12,2012,2012-11-13,7094.0,0.09571468846912884,0.14897236146057713,-0.0538291754572755,148972.36146057714,MA5 週線,1M
2012-11-21,2012,2012-11-22,7089.0,0.05684863873606997,0.1276728588427245,-0.07136916913359452,127672.8588427245,MA5 週線,1M
2012-12-10,2012,2012-12-11,7638.0,0.025530243519245877,0.054315446240297494,-0.07136916913359448,54315.4462402975,MA5 週線,1M
2012-12-17,2012,2012-12-18,7653.0,-0.005096040768326146,-0.0105566610020984,-0.05539267483165091,-10556.661002098399,MA5 週線,1M
2013-01-07,2013,2013-01-08,7709.0,0.024905954079647165,0.04062961346306415,-0.0553926748316509,40629.61346306415,MA5 週線,1M
2013-01-15,2013,2013-01-16,7677.0,0.029178064348052625,0.040412628693723196,-0.03318051974184133,40412.62869372319,MA5 週線,1M
2013-01-24,2013,2013-01-25,7650.0,0.03934640522875817,0.07040649404014987,-0.015230961298376887,70406.49404014988,MA5 週線,1M
